"","Variable_Name","Search_Term"
"291","BP_DIASTOLIC","high diastolic reading uncontrolled"
"292","BP_DIASTOLIC","elevated lower number blood pressure"
"293","BP_DIASTOLIC","critically high diastolic"
"294","BP_DIASTOLIC","hypertensive urgency diastolic"
"295","BP_DIASTOLIC","severe elevation lower blood pressure"
"296","BP_DIASTOLIC","dangerous diastolic pressure"
"297","BP_DIASTOLIC","high lower blood pressure reading"
"298","BP_DIASTOLIC","uncontrolled hypertension diastolic"
"299","BP_DIASTOLIC","diastolic pressure very high"
"300","BP_DIASTOLIC","uncontrolled lower blood pressure"
"301","BP_DIASTOLIC","hypertensive crisis diastolic phase"
"302","BP_DIASTOLIC","very high diastolic blood pressure"
"303","BP_DIASTOLIC","lower pressure uncontrolled"
"304","BP_DIASTOLIC","hypertensive emergency dbp"
"305","BP_DIASTOLIC","diastolic blood pressure dangerously high"
"306","BP_DIASTOLIC","lower blood pressure uncontrolled"
"307","BP_DIASTOLIC","severe diastolic hypertension"
"308","BP_DIASTOLIC","uncontrolled very high diastolic"
"309","BP_DIASTOLIC","hypertensive crisis lower pressure"
"310","BP_DIASTOLIC","severe high diastolic blood pressure"
"311","BP_DIASTOLIC","dangerously high diastolic pressure"
"312","BP_DIASTOLIC","uncontrolled diastolic readings"
"313","BP_DIASTOLIC","severe lower blood pressure"
"314","BP_DIASTOLIC","very severe diastolic hypertension"
"315","BP_DIASTOLIC","uncontrolled lower blood pressure in crisis"
"316","BP_DIASTOLIC","diastolic blood pressure dangerously elevated"
"317","BP_DIASTOLIC","uncontrolled lower pressure reading"
"318","BP_DIASTOLIC","hypertensive emergency diastolic type"
"319","BP_DIASTOLIC","diastolic pressure excessively high"
"320","BP_DIASTOLIC","uncontrolled lower blood pressure readings"
"321","BP_DIASTOLIC","critical high diastolic"
"322","BP_DIASTOLIC","blood pressure diastolic uncontrolled severe"
"323","BP_DIASTOLIC","critically high lower pressure"
"324","BP_DIASTOLIC","malignant hypertension diastolic"
"325","BP_DIASTOLIC","diastolic blood pressure critically high"
"326","BP_DIASTOLIC","uncontrolled very high lower pressure"
"327","BP_DIASTOLIC","hypertensive emergency diastolic crisis"
"328","CHOL","high cholesterol"
"329","CHOL","hyperlipidemia"
"330","CHOL","elevated lipids"
"331","CHOL","arterial plaque buildup"
"332","CHOL","vascular hardening"
"333","CHOL","abnormal fat levels in blood"
"334","CHOL","lipid metabolism disorder"
"335","CHOL","hypercholesterolemia"
"336","CHOL","high lipid levels"
"337","CHOL","dyslipidemia"
"338","CHOL","atherosclerotic plaque"
"339","CHOL","hardening of arteries"
"340","CHOL","elevated circulating fats"
"341","CHOL","elevated cholesterol levels"
"342","CHOL","high ldl cholesterol"
"343","CHOL","non-hdl cholesterol elevated"
"344","CHOL","risk of atherosclerosis"
"345","CHOL","high total cholesterol"
"346","CHOL","high density lipoprotein cholesterol elevated"
"347","CHOL","low density lipoprotein cholesterol elevated"
"348","CHOL","lipid panel abnormality"
"349","CHOL","elevated non-hdl"
"350","CHOL","hypercholesteremia"
"351","CHOL","elevated cholesterol and triglycerides"
"352","CHOL","combined hyperlipidemia"
"353","CHOL","high cholesterol diagnosis"
"354","CHOL","hyperlipidemic condition"
"355","CHOL","elevated lipid profile"
"356","CHOL","elevated total cholesterol"
"357","CHOL","high blood fats"
"358","CHOL","hypercholesterolemia secondary"
"359","CHOL","high non-hdl cholesterol"
"360","CHOL","elevated total blood cholesterol"
"361","CHOL","hyperlipidemia unspecified"
"362","CHOL","cholesterol elevated"
"363","CHOL","high total lipid levels"
"364","CHOL","hyperlipidemia mixed"
"365","CHOL","atherogenic cholesterol levels"
"366","CHOL","high cholesterol in blood"
"367","CHOL","hypercholesterolemia familial"
"368","CHOL","elevated bad cholesterol"
"369","CHOL","high total cholesterol concentration"
"370","CHOL","dyslipidemia type iia"
"371","CHOL","elevated cholesterol disorder"
"372","CHOL","high lipoprotein levels"
"373","CHOL","hyperlipidemia due to diet"
"374","CHOL","high blood cholesterol"
"375","CHOL","hypercholesterolemia unspecified type"
"376","CHOL","elevated circulating cholesterol"
"377","CHOL","high fats in blood"
"378","CHOL","dyslipidemia type iib"
"379","CHOL","elevated ldl and vldl"
"380","CHOL","hyperlipidemia combined"
"381","CHOL","high blood cholesterol levels"
"382","CHOL","mixed dyslipidemia"
"383","CHOL","high total cholesterol and triglycerides"
"384","CHOL","elevated lipoproteins"
"385","CHOL","familial combined hyperlipidemia"
"386","CHOL","high blood fats and cholesterol"
"387","CHOL","elevated ldl"
"388","CHOL","hyperlipidemia type iii"
"389","CHOL","elevated non-hdl cholesterol"
"390","CHOL","hypercholesterolemia secondary cause"
"391","CHOL","elevated total cholesterol and ldl"
"392","CHOL","high blood lipids"
"393","CHOL","hyperlipidemia due to metabolic syndrome"
"394","CREAT_C","reduced kidney function"
"395","CREAT_C","renal insufficiency"
"396","CREAT_C","impaired glomerular filtration"
"397","CREAT_C","decreased kidney clearance"
"398","CREAT_C","kidney disease"
"399","CREAT_C","poor kidney filtration"
"400","CREAT_C","kidney impairment"
"401","CREAT_C","chronic renal disease"
"402","CREAT_C","low creatinine clearance"
"403","CREAT_C","reduced gfr"
"404","CREAT_C","kidney filtering issues"
"405","CREAT_C","renal dysfunction"
"406","CREAT_C","compromised kidney function"
"407","CREAT_C","end stage renal disease"
"408","CREAT_C","low kidney filtration rate"
"409","CREAT_C","impaired creatinine clearance test"
"410","CREAT_C","severe kidney dysfunction"
"411","CREAT_C","uremia"
"412","CREAT_C","very low creatinine clearance"
"413","CREAT_C","renal failure advanced"
"414","CREAT_C","impaired renal clearance"
"415","CREAT_C","severe reduction in kidney function"
"416","CREAT_C","very poor creatinine clearance"
"417","CREAT_C","kidney filtration severely reduced"
"418","CREAT_C","end-stage kidney disease"
"419","CREAT_C","critical creatinine clearance"
"420","CREAT_C","kidney function severely compromised"
"421","CREAT_C","advanced kidney failure"
"422","CREAT_C","extremely low creatinine clearance"
"423","CREAT_C","kidney filtration failure"
"424","CREAT_C","severe kidney impairment"
"425","CREAT_C","creatinine clearance greatly reduced"
"426","CREAT_C","renal dysfunction severe"
"427","CREAT_C","low gfr"
"428","CREAT_C","very low kidney clearance"
"429","CREAT_C","advanced kidney disease"
"430","CREAT_C","severe renal insufficiency"
"431","CREAT_C","kidney filtration extremely low"
"432","CREAT_C","kidney function deterioration"
"433","CREAT_C","severe creatinine clearance deficit"
"434","CREAT_C","renal impairment advanced"
"435","CREAT_C","kidney damage severe"
"436","CREAT_C","creatinine clearance low"
"437","CREAT_C","end-stage kidney disease diagnosis"
"438","CREAT_C","chronic kidney failure severe"
"439","CREAT_C","creatinine clearance significantly reduced"
"440","CREAT_C","advanced renal disease"
"441","CREAT_C","kidney function severely diminished"
"442","CREAT_C","low glomerular filtration rate"
"443","CREAT_C","critical creatinine clearance levels"
"444","CREAT_C","renal disease advanced stage"
"445","CREAT_C","creatinine clearance critically low"
"446","CREAT_C","kidney function very poor"
"447","CREAT_C","kidney filtration severely compromised"
"448","CREAT_C","end stage renal failure"
"449","CREAT_C","critical reduction in creatinine clearance"
"450","CREAT_C","renal dysfunction critical"
"451","CREAT_C","creatinine clearance extremely low"
"452","CREAT_C","severe kidney filtration impairment"
"453","CREAT_C","kidney function severely impaired"
"454","CREAT_C","creatinine clearance critically reduced"
"455","CREAT_C","advanced kidney disease stage"
"456","CREAT_C","renal failure very advanced"
"457","CREAT_C","end stage kidney disease severe"
"458","CREAT_C","kidney function severely deteriorated"
"459","CREAT_C","creatinine clearance extremely poor"
"460","CREAT_C","severe chronic kidney disease"
"461","CRP","elevated inflammation marker"
"462","CRP","systemic inflammation"
"463","CRP","acute phase reactant increase"
"464","CRP","tissue damage inflammation"
"465","CRP","infection related inflammation"
"466","CRP","chronic inflammatory state"
"467","CRP","systemic inflammatory response"
"468","CRP","c-reactive protein elevation"
"469","CRP","inflammatory marker increased"
"470","CRP","acute inflammation"
"471","CRP","chronic inflammation presence"
"472","CRP","infection inflammation"
"473","CRP","generalized inflammation"
"474","CRP","elevated inflammatory markers"
"475","CRP","infection or injury inflammation"
"476","CRP","chronic low grade inflammation"
"477","CRP","systemic inflammatory condition"
"478","CRP","elevated c-reactive protein marker"
"479","CRP","inflammatory disease activity"
"480","CRP","inflammation marker elevated"
"481","CRP","chronic systemic inflammation"
"482","CRP","high c-reactive protein levels"
"483","CRP","inflammatory response elevated"
"484","CRP","high crp reading"
"485","CRP","systemic inflammation disease"
"486","CRP","elevated inflammation"
"487","CRP","systemic inflammatory marker"
"488","CRP","high c-reactive protein value"
"489","CRP","increased inflammatory marker"
"490","CRP","high crp blood test"
"491","CRP","persistent inflammation"
"492","CRP","inflammatory process active"
"493","CRP","high levels of crp"
"494","CRP","systemic inflammatory response syndrome"
"495","CRP","elevated inflammation in body"
"496","CRP","high c-reactive protein blood test"
"497","CRP","systemic inflammation chronic"
"498","CRP","inflammation present"
"499","CRP","high crp result"
"500","CRP","acute phase response elevation"
"501","CRP","inflammation high"
"502","CRP","c-reactive protein elevated"
"503","CRP","systemic inflammation disorder"
"504","CRP","inflammatory state severe"
"505","CRP","high crp value"
"506","CRP","high c-reactive protein blood"
"507","CRP","systemic inflammation high"
"508","CRP","elevated inflammation marker acute"
"509","CRP","inflammatory process very active"
"510","CRP","extremely high crp"
"511","CRP","systemic inflammatory state severe"
"512","CRP","inflammation marker extremely high"
"513","CRP","severe systemic inflammatory response"
"514","CRP","very high c-reactive protein"
"515","CRP","extreme inflammation"
"516","CRP","crp level very high"
"517","CRP","systemic inflammatory syndrome"
"518","CRP","inflammatory marker pathologically high"
"519","CRP","very high c-reactive protein level"
"520","CRP","severe inflammation detected"
"521","CRP","systemic inflammation pathologically high"
"522","CRP","crp level dangerously high"
"523","CRP","extreme inflammatory response"
"524","CRP","inflammatory marker critically high"
"525","CRP","c-reactive protein extremely elevated"
"526","CRP","severe systemic inflammation"
"527","HCST","elevated homocysteine"
"528","HCST","hyperhomocysteinemia"
"529","HCST","high amino acid levels"
"530","HCST","vascular damage indicator"
"531","HCST","metabolic pathway dysfunction"
"532","HCST","cardiovascular risk factor"
"533","HCST","elevated plasma homocysteine"
"534","HCST","high blood homocysteine"
"535","HCST","genetic hyperhomocysteinemia"
"536","HCST","vitamin b deficiency homocysteine"
"537","HCST","risk of thrombosis homocysteine"
"538","HCST","homocysteine excess"
"539","HCST","high levels of homocysteine"
"540","HCST","metabolic disorder homocysteine"
"541","HCST","increased cardiovascular risk homocysteine"
"542","HCST","elevated plasma total homocysteine"
"543","HCST","homocysteine related disease"
"544","HCST","high methionine metabolism product"
"545","HCST","homocysteine level elevated"
"546","HCST","homocysteine related vascular risk"
"547","HCST","elevated homocysteine levels blood"
"548","HCST","high serum homocysteine"
"549","HCST","metabolic pathway defect homocysteine"
"550","HCST","homocysteine blood level elevated"
"551","HCST","high homocysteine in plasma"
"552","HCST","elevated amino acid homocysteine"
"553","HCST","high plasma homocysteine"
"554","HCST","homocysteine related health issues"
"555","HCST","elevated sulfur amino acid"
"556","HCST","elevated circulating homocysteine"
"557","HCST","high homocysteine for age"
"558","HCST","homocysteine pathway error"
"559","HCST","high blood homocysteine levels"
"560","HCST","homocysteine related vascular disease"
"561","HCST","elevated amino acid homocysteine marker"
"562","HCST","high homocysteine test"
"563","HCST","elevated plasma homocysteine levels"
"564","HCST","genetic cause homocysteine"
"565","HCST","elevated homocysteine indicator"
"566","HCST","high levels of homocysteine in blood"
"567","HCST","metabolic disorder related homocysteine"
"568","HCST","homocysteine elevated plasma"
"569","HCST","high homocysteine related vascular disease"
"570","HCST","genetic predisposition homocysteine"
"571","HCST","elevated homocysteine blood test"
"572","HCST","high plasma homocysteine concentration"
"573","HCST","nutritional deficiency homocysteine"
"574","HCST","homocysteine levels very high"
"575","HCST","elevated homocysteine in circulation"
"576","HCST","inherited hyperhomocysteinemia"
"577","HCST","very high homocysteine levels"
"578","HCST","elevated homocysteine related to genetics"
"579","HCST","metabolic defect homocysteine"
"580","HCST","homocysteine excessively high"
"581","HCST","high homocysteine due to b vitamin deficiency"
"582","HCST","acquired hyperhomocysteinemia"
"583","HCST","homocysteine very high in blood"
"584","HCST","elevated homocysteine from renal failure"
"585","HCST","disease related homocysteine"
"586","HCST","high homocysteine concentration"
"587","HCST","elevated homocysteine cardiovascular risk"
"588","HCST","homocysteine metabolic disorder"
"589","HCST","homocysteine extremely high"
"590","HCST","elevated homocysteine associated with vascular disease"
"591","HCST","homocysteine genetic metabolic error"
"592","TRIG","high triglycerides"
"593","TRIG","hypertriglyceridemia"
"594","TRIG","elevated blood fats"
"595","TRIG","lipid accumulation"
"596","TRIG","fatty deposits"
"597","TRIG","metabolic syndrome component"
"598","TRIG","excessive fat in circulation"
"599","TRIG","elevated serum triglycerides"
"600","TRIG","high fat in blood"
"601","TRIG","lipid disorder triglycerides"
"602","TRIG","increased blood lipids"
"603","TRIG","very high triglycerides"
"604","TRIG","extremely high blood fats"
"605","TRIG","lipid metabolism disturbance"
"606","TRIG","hyperlipidemic state triglycerides"
"607","TRIG","elevated plasma triglycerides"
"608","TRIG","high circulating fats"
"609","TRIG","lipid abnormalities triglycerides"
"610","TRIG","very elevated triglycerides"
"611","TRIG","blood fats excessively high"
"612","TRIG","severe hypertriglyceridemia"
"613","TRIG","triglycerides elevation"
"614","TRIG","high serum fat"
"615","TRIG","lipid imbalance triglycerides"
"616","TRIG","high blood triglyceride levels"
"617","TRIG","fatty blood"
"618","TRIG","lipid disorder with high triglycerides"
"619","TRIG","excessive triglycerides"
"620","TRIG","high blood lipid triglycerides"
"621","TRIG","hypertriglyceridemia primary"
"622","TRIG","triglyceride excess"
"623","TRIG","high fatty acid levels"
"624","TRIG","hypertriglyceridemia secondary"
"625","TRIG","high triglyceride concentration"
"626","TRIG","elevated blood fat levels"
"627","TRIG","hypertriglyceridemia familial"
"628","TRIG","elevated blood triglycerides"
"629","TRIG","hypertriglyceridemia genetic"
"630","TRIG","elevated triglycerides in blood"
"631","TRIG","high blood fat disorder"
"632","TRIG","hypertriglyceridemia metabolic"
"633","TRIG","triglycerides very high in blood"
"634","TRIG","elevated blood lipid content"
"635","TRIG","hypertriglyceridemia related to diet"
"636","TRIG","blood triglycerides extremely high"
"637","TRIG","elevated blood fat levels severe"
"638","TRIG","hypertriglyceridemia nutritional"
"639","TRIG","extremely high blood triglycerides"
"640","TRIG","elevated circulating fats severe"
"641","TRIG","hypertriglyceridemia inherited"
"642","TRIG","triglycerides dangerously high"
"643","TRIG","extremely elevated blood lipids"
"644","TRIG","severe hypertriglyceridemia genetic"
"645","TRIG","blood triglycerides at critical level"
"646","TRIG","excessively high fat in blood"
"647","TRIG","severe hypertriglyceridemia acquired"
"648","TRIG","triglycerides critically high"
"649","TRIG","extremely high blood fat"
"650","TRIG","severe hypertriglyceridemia related to disease"
"651","TRIG","blood triglycerides dangerously high level"
"652","TRIG","elevated blood fat associated with disease"
"653","TRIG","severe hypertriglyceridemia secondary"
"654","TRIG","triglycerides extremely high in blood"
"655","TRIG","excessively elevated blood fat"
"656","TRIG","severe hypertriglyceridemia metabolic syndrome"
