"Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_context"
"A1C","E083292","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083293","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083299","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083311","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083312","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083313","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083319","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083391","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083392","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083393","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083399","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083411","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083412","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083413","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083419","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083491","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083492","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083493","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083499","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083511","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083512","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083513","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083519","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083521","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT INVOLVING THE MACULA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083522","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT INVOLVING THE MACULA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083523","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT INVOLVING THE MACULA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083529","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT INVOLVING THE MACULA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083531","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT NOT INVOLVING THE MACULA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083532","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT NOT INVOLVING THE MACULA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083533","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT NOT INVOLVING THE MACULA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083539","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT NOT INVOLVING THE MACULA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083541","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH COMBINED TRACTION RETINAL DETACHMENT AND RHEGMATOGENOUS RETINAL DETACHMENT, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083542","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH COMBINED TRACTION RETINAL DETACHMENT AND RHEGMATOGENOUS RETINAL DETACHMENT, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083543","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH COMBINED TRACTION RETINAL DETACHMENT AND RHEGMATOGENOUS RETINAL DETACHMENT, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083549","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH COMBINED TRACTION RETINAL DETACHMENT AND RHEGMATOGENOUS RETINAL DETACHMENT, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083551","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH STABLE PROLIFERATIVE DIABETIC RETINOPATHY, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*MELLITUS.*STABLE; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083552","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH STABLE PROLIFERATIVE DIABETIC RETINOPATHY, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*MELLITUS.*STABLE; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083553","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH STABLE PROLIFERATIVE DIABETIC RETINOPATHY, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*MELLITUS.*STABLE; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083559","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH STABLE PROLIFERATIVE DIABETIC RETINOPATHY, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*MELLITUS.*STABLE; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083591","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083592","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083593","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E083599","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E0836","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC CATARACT","DIABETES; DIABETES.*MELLITUS"
"A1C","E0837X1","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC MACULAR EDEMA, RESOLVED FOLLOWING TREATMENT, RIGHT EYE","DIABETES; DIABETES.*MELLITUS"
"A1C","E0837X2","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC MACULAR EDEMA, RESOLVED FOLLOWING TREATMENT, LEFT EYE","DIABETES; DIABETES.*MELLITUS"
"A1C","E0837X3","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC MACULAR EDEMA, RESOLVED FOLLOWING TREATMENT, BILATERAL","DIABETES; DIABETES.*MELLITUS"
"A1C","E0837X9","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC MACULAR EDEMA, RESOLVED FOLLOWING TREATMENT, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED"
"A1C","E0839","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER DIABETIC OPHTHALMIC COMPLICATION","DIABETES; DIABETES.*MELLITUS"
"A1C","E0840","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEUROPATHY, UNSPECIFIED","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY"
"A1C","E0841","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC MONONEUROPATHY","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"A1C","E0842","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC POLYNEUROPATHY","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"A1C","E0843","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC AUTONOMIC (POLY)NEUROPATHY","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"A1C","E0844","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC AMYOTROPHY","DIABETES; DIABETES.*MELLITUS"
"A1C","E0849","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER DIABETIC NEUROLOGICAL COMPLICATION","DIABETES; DIABETES.*MELLITUS"
"A1C","E0851","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC PERIPHERAL ANGIOPATHY WITHOUT GANGRENE","DIABETES; DIABETES.*MELLITUS"
"A1C","E0852","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC PERIPHERAL ANGIOPATHY WITH GANGRENE","DIABETES; DIABETES.*MELLITUS"
"A1C","E0859","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER CIRCULATORY COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS"
"A1C","E08610","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEUROPATHIC ARTHROPATHY","DIABETES; DIABETES.*MELLITUS"
"A1C","E08618","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER DIABETIC ARTHROPATHY","DIABETES; DIABETES.*MELLITUS"
"A1C","E08620","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC DERMATITIS","DIABETES; DIABETES.*MELLITUS"
"A1C","E08621","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH FOOT ULCER","DIABETES; DIABETES.*MELLITUS"
"A1C","E08622","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER SKIN ULCER","DIABETES; DIABETES.*MELLITUS"
"A1C","E08628","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER SKIN COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS"
"A1C","E08630","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH PERIODONTAL DISEASE","DIABETES; DIABETES.*MELLITUS"
"A1C","E08638","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER ORAL COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS"
"A1C","E08641","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPOGLYCEMIA WITH COMA","DIABETES; DIABETES.*MELLITUS"
"A1C","E08649","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPOGLYCEMIA WITHOUT COMA","DIABETES; DIABETES.*MELLITUS"
"A1C","E0865","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPERGLYCEMIA","DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS"
"A1C","E0869","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER SPECIFIED COMPLICATION","DIABETES; DIABETES.*MELLITUS"
"A1C","E088","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH UNSPECIFIED COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS"
"A1C","E089","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITHOUT COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS"
"A1C","E0900","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH HYPEROSMOLARITY WITHOUT NONKETOTIC HYPERGLYCEMIC-HYPEROSMOLAR COMA (NKHHC)","DIABETES; DIABETES.*MELLITUS"
"A1C","E0901","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH HYPEROSMOLARITY WITH COMA","DIABETES; DIABETES.*MELLITUS"
"A1C","E0910","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH KETOACIDOSIS WITHOUT COMA","DIABETES; DIABETES.*MELLITUS"
"A1C","E0911","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH KETOACIDOSIS WITH COMA","DIABETES; DIABETES.*MELLITUS"
"A1C","E0921","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH DIABETIC NEPHROPATHY","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEPHROPATHY"
"A1C","E0922","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH DIABETIC CHRONIC KIDNEY DISEASE","DIABETES; DIABETES.*MELLITUS"
"A1C","E0929","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH OTHER DIABETIC KIDNEY COMPLICATION","DIABETES; DIABETES.*MELLITUS"
"A1C","E09311","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH UNSPECIFIED DIABETIC RETINOPATHY WITH MACULAR EDEMA","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E09319","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH UNSPECIFIED DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093211","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093212","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093213","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093219","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093291","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093292","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093293","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093299","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093311","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093312","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093313","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093319","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093391","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093392","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093393","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"A1C","E093399","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
