"","Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_context_clinician"
"57","A1C","E113592","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"58","A1C","E113593","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"59","A1C","E113599","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"60","A1C","E1136","TYPE 2 DIABETES MELLITUS WITH DIABETIC CATARACT","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS"
"61","A1C","E1140","TYPE 2 DIABETES MELLITUS WITH DIABETIC NEUROPATHY, UNSPECIFIED","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY"
"62","A1C","E1141","TYPE 2 DIABETES MELLITUS WITH DIABETIC MONONEUROPATHY","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"63","A1C","E1142","TYPE 2 DIABETES MELLITUS WITH DIABETIC POLYNEUROPATHY","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"64","A1C","E1143","TYPE 2 DIABETES MELLITUS WITH DIABETIC AUTONOMIC (POLY)NEUROPATHY","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"65","A1C","E1149","TYPE 2 DIABETES MELLITUS WITH OTHER DIABETIC NEUROLOGICAL COMPLICATION","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS"
"66","A1C","E1159","TYPE 2 DIABETES MELLITUS WITH OTHER CIRCULATORY COMPLICATIONS","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS"
"67","A1C","E11610","TYPE 2 DIABETES MELLITUS WITH DIABETIC NEUROPATHIC ARTHROPATHY","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS"
"68","A1C","E11621","TYPE 2 DIABETES MELLITUS WITH FOOT ULCER","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"69","A1C","E11622","TYPE 2 DIABETES MELLITUS WITH OTHER SKIN ULCER","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"70","A1C","E11628","TYPE 2 DIABETES MELLITUS WITH OTHER SKIN COMPLICATIONS","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS"
"71","A1C","E11638","TYPE 2 DIABETES MELLITUS WITH OTHER ORAL COMPLICATIONS","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS"
"72","A1C","E11649","TYPE 2 DIABETES MELLITUS WITH HYPOGLYCEMIA WITHOUT COMA","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"73","A1C","E1165","TYPE 2 DIABETES MELLITUS WITH HYPERGLYCEMIA","DIABETES; HYPERGLYCEMIA; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"74","A1C","E1169","TYPE 2 DIABETES MELLITUS WITH OTHER SPECIFIED COMPLICATION","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"75","A1C","E118","TYPE 2 DIABETES MELLITUS WITH UNSPECIFIED COMPLICATIONS","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*UNSPECIFIED"
"76","A1C","E119","TYPE 2 DIABETES MELLITUS WITHOUT COMPLICATIONS","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS"
"77","A1C","E1340","OTHER SPECIFIED DIABETES MELLITUS WITH DIABETIC NEUROPATHY, UNSPECIFIED","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY"
"78","A1C","E13621","OTHER SPECIFIED DIABETES MELLITUS WITH FOOT ULCER","DIABETES; DIABETES.*MELLITUS"
"79","A1C","E1365","OTHER SPECIFIED DIABETES MELLITUS WITH HYPERGLYCEMIA","DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS"
"80","A1C","E139","OTHER SPECIFIED DIABETES MELLITUS WITHOUT COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS"
"81","A1C","E8881","Metabolic syndrome and other insulin resistance","INSULIN.*RESISTANCE; METABOLIC.*SYNDROME"
"82","A1C","O24111","PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY, FIRST TRIMESTER","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"83","A1C","O24112","PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY, SECOND TRIMESTER","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"84","A1C","O24113","PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY, THIRD TRIMESTER","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"85","A1C","O24119","PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY, UNSPECIFIED TRIMESTER","DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED"
"86","A1C","O24311","UNSPECIFIED PRE-EXISTING DIABETES MELLITUS IN PREGNANCY, FIRST TRIMESTER","DIABETES; DIABETES.*MELLITUS"
"87","A1C","O24410","GESTATIONAL DIABETES MELLITUS IN PREGNANCY, DIET CONTROLLED","DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS"
"88","A1C","O24414","GESTATIONAL DIABETES MELLITUS IN PREGNANCY, INSULIN CONTROLLED","DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS"
"89","A1C","O24419","GESTATIONAL DIABETES MELLITUS IN PREGNANCY, UNSPECIFIED CONTROL","DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED"
"90","A1C","O24911","UNSPECIFIED DIABETES MELLITUS IN PREGNANCY, FIRST TRIMESTER","DIABETES; DIABETES.*MELLITUS"
"91","A1C","O24912","UNSPECIFIED DIABETES MELLITUS IN PREGNANCY, SECOND TRIMESTER","DIABETES; DIABETES.*MELLITUS"
"92","A1C","O24913","UNSPECIFIED DIABETES MELLITUS IN PREGNANCY, THIRD TRIMESTER","DIABETES; DIABETES.*MELLITUS"
"93","A1C","O24919","UNSPECIFIED DIABETES MELLITUS IN PREGNANCY, UNSPECIFIED TRIMESTER","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED"
"94","A1C","O99810","ABNORMAL GLUCOSE COMPLICATING PREGNANCY","ABNORMAL.*GLUCOSE"
"95","A1C","R7302","IMPAIRED GLUCOSE TOLERANCE (ORAL)","IMPAIRED.*GLUCOSE.*TOLERANCE"
"96","A1C","R7303","PREDIABETES","DIABETES; PREDIABETES; PREDIABETES"
"97","A1C","R7309","OTHER ABNORMAL GLUCOSE","ABNORMAL.*GLUCOSE"
"98","A1C","R739","HYPERGLYCEMIA, UNSPECIFIED","HYPERGLYCEMIA; HYPERGLYCEMIA.*UNSPECIFIED"
"99","A1C","Z131","ENCOUNTER FOR SCREENING FOR DIABETES MELLITUS","DIABETES; DIABETES.*MELLITUS"
"100","A1C","Z8632","PERSONAL HISTORY OF GESTATIONAL DIABETES","DIABETES; GESTATIONAL.*DIABETES"
"101","BMI","E6601","MORBID (SEVERE) OBESITY DUE TO EXCESS CALORIES","OBESITY; MORBID.*OBESITY; SEVERE.*OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES"
