"","VARIABLE_NAME","DX_CODE","DX_DESC","CLINICALLY_RELEVANT","MATCHED_TERMS"
"14","A1C","E1010","TYPE 1 DIABETES MELLITUS WITH KETOACIDOSIS WITHOUT COMA",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS"
"15","A1C","E1029","TYPE 1 DIABETES MELLITUS WITH OTHER DIABETIC KIDNEY COMPLICATION",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS"
"16","A1C","E103293","TYPE 1 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"17","A1C","E103299","TYPE 1 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"18","A1C","E103312","TYPE 1 DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"19","A1C","E103391","TYPE 1 DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"20","A1C","E103493","TYPE 1 DIABETES MELLITUS WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"21","A1C","E103511","TYPE 1 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"22","A1C","E103591","TYPE 1 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"23","A1C","E103592","TYPE 1 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"24","A1C","E103593","TYPE 1 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"25","A1C","E103599","TYPE 1 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"26","A1C","E1042","TYPE 1 DIABETES MELLITUS WITH DIABETIC POLYNEUROPATHY",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"27","A1C","E1049","TYPE 1 DIABETES MELLITUS WITH OTHER DIABETIC NEUROLOGICAL COMPLICATION",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS"
"28","A1C","E10610","TYPE 1 DIABETES MELLITUS WITH DIABETIC NEUROPATHIC ARTHROPATHY",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS"
"29","A1C","E10621","TYPE 1 DIABETES MELLITUS WITH FOOT ULCER",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS"
"30","A1C","E10628","TYPE 1 DIABETES MELLITUS WITH OTHER SKIN COMPLICATIONS",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS"
"31","A1C","E10649","TYPE 1 DIABETES MELLITUS WITH HYPOGLYCEMIA WITHOUT COMA",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS"
"32","A1C","E1065","TYPE 1 DIABETES MELLITUS WITH HYPERGLYCEMIA",TRUE,"DIABETES; HYPERGLYCEMIA; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS"
"33","A1C","E1069","TYPE 1 DIABETES MELLITUS WITH OTHER SPECIFIED COMPLICATION",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS"
"34","A1C","E108","TYPE 1 DIABETES MELLITUS WITH UNSPECIFIED COMPLICATIONS",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*UNSPECIFIED"
"35","A1C","E109","TYPE 1 DIABETES MELLITUS WITHOUT COMPLICATIONS",TRUE,"DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS"
"36","A1C","E1100","TYPE 2 DIABETES MELLITUS WITH HYPEROSMOLARITY WITHOUT NONKETOTIC HYPERGLYCEMIC-HYPEROSMOLAR COMA (NKHHC)",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"37","A1C","E1110","TYPE 2 DIABETES MELLITUS WITH KETOACIDOSIS WITHOUT COMA",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"38","A1C","E1121","TYPE 2 DIABETES MELLITUS WITH DIABETIC NEPHROPATHY",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEPHROPATHY"
"39","A1C","E1122","TYPE 2 DIABETES MELLITUS WITH DIABETIC CHRONIC KIDNEY DISEASE",TRUE,"DIABETES; TYPE.*2.*DIABETES"
"40","A1C","E1129","TYPE 2 DIABETES MELLITUS WITH OTHER DIABETIC KIDNEY COMPLICATION",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS"
"41","A1C","E11311","TYPE 2 DIABETES MELLITUS WITH UNSPECIFIED DIABETIC RETINOPATHY WITH MACULAR EDEMA",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"42","A1C","E11319","TYPE 2 DIABETES MELLITUS WITH UNSPECIFIED DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"43","A1C","E113212","TYPE 2 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"44","A1C","E113219","TYPE 2 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"45","A1C","E113291","TYPE 2 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"46","A1C","E113293","TYPE 2 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"47","A1C","E113299","TYPE 2 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"48","A1C","E113311","TYPE 2 DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"49","A1C","E113313","TYPE 2 DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"50","A1C","E113391","TYPE 2 DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"51","A1C","E113392","TYPE 2 DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"52","A1C","E113393","TYPE 2 DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"53","A1C","E113511","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"54","A1C","E113512","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"55","A1C","E113513","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"56","A1C","E113559","TYPE 2 DIABETES MELLITUS WITH STABLE PROLIFERATIVE DIABETIC RETINOPATHY, UNSPECIFIED EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*MELLITUS.*STABLE; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"57","A1C","E113592","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"58","A1C","E113593","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY"
"59","A1C","E113599","TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY"
"60","A1C","E1136","TYPE 2 DIABETES MELLITUS WITH DIABETIC CATARACT",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS"
"61","A1C","E1140","TYPE 2 DIABETES MELLITUS WITH DIABETIC NEUROPATHY, UNSPECIFIED",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY"
"62","A1C","E1141","TYPE 2 DIABETES MELLITUS WITH DIABETIC MONONEUROPATHY",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"63","A1C","E1142","TYPE 2 DIABETES MELLITUS WITH DIABETIC POLYNEUROPATHY",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"64","A1C","E1143","TYPE 2 DIABETES MELLITUS WITH DIABETIC AUTONOMIC (POLY)NEUROPATHY",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"65","A1C","E1149","TYPE 2 DIABETES MELLITUS WITH OTHER DIABETIC NEUROLOGICAL COMPLICATION",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS"
"66","A1C","E1159","TYPE 2 DIABETES MELLITUS WITH OTHER CIRCULATORY COMPLICATIONS",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS"
"67","A1C","E11610","TYPE 2 DIABETES MELLITUS WITH DIABETIC NEUROPATHIC ARTHROPATHY",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS"
"68","A1C","E11621","TYPE 2 DIABETES MELLITUS WITH FOOT ULCER",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"69","A1C","E11622","TYPE 2 DIABETES MELLITUS WITH OTHER SKIN ULCER",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"70","A1C","E11628","TYPE 2 DIABETES MELLITUS WITH OTHER SKIN COMPLICATIONS",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS"
"71","A1C","E11638","TYPE 2 DIABETES MELLITUS WITH OTHER ORAL COMPLICATIONS",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS"
"72","A1C","E11649","TYPE 2 DIABETES MELLITUS WITH HYPOGLYCEMIA WITHOUT COMA",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"73","A1C","E1165","TYPE 2 DIABETES MELLITUS WITH HYPERGLYCEMIA",TRUE,"DIABETES; HYPERGLYCEMIA; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"74","A1C","E1169","TYPE 2 DIABETES MELLITUS WITH OTHER SPECIFIED COMPLICATION",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"75","A1C","E118","TYPE 2 DIABETES MELLITUS WITH UNSPECIFIED COMPLICATIONS",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*UNSPECIFIED"
"76","A1C","E119","TYPE 2 DIABETES MELLITUS WITHOUT COMPLICATIONS",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS"
"77","A1C","E1340","OTHER SPECIFIED DIABETES MELLITUS WITH DIABETIC NEUROPATHY, UNSPECIFIED",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY"
"78","A1C","E13621","OTHER SPECIFIED DIABETES MELLITUS WITH FOOT ULCER",TRUE,"DIABETES; DIABETES.*MELLITUS"
"79","A1C","E1365","OTHER SPECIFIED DIABETES MELLITUS WITH HYPERGLYCEMIA",TRUE,"DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS"
"80","A1C","E139","OTHER SPECIFIED DIABETES MELLITUS WITHOUT COMPLICATIONS",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS"
"81","A1C","E8881","Metabolic syndrome and other insulin resistance",TRUE,"INSULIN.*RESISTANCE"
"82","A1C","O24111","PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY, FIRST TRIMESTER",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"83","A1C","O24112","PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY, SECOND TRIMESTER",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"84","A1C","O24113","PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY, THIRD TRIMESTER",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS"
"85","A1C","O24119","PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY, UNSPECIFIED TRIMESTER",TRUE,"DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED"
"86","A1C","O24311","UNSPECIFIED PRE-EXISTING DIABETES MELLITUS IN PREGNANCY, FIRST TRIMESTER",TRUE,"DIABETES; DIABETES.*MELLITUS"
"87","A1C","O24410","GESTATIONAL DIABETES MELLITUS IN PREGNANCY, DIET CONTROLLED",TRUE,"DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS"
"88","A1C","O24414","GESTATIONAL DIABETES MELLITUS IN PREGNANCY, INSULIN CONTROLLED",TRUE,"DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS"
"89","A1C","O24419","GESTATIONAL DIABETES MELLITUS IN PREGNANCY, UNSPECIFIED CONTROL",TRUE,"DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED"
"90","A1C","O24911","UNSPECIFIED DIABETES MELLITUS IN PREGNANCY, FIRST TRIMESTER",TRUE,"DIABETES; DIABETES.*MELLITUS"
"91","A1C","O24912","UNSPECIFIED DIABETES MELLITUS IN PREGNANCY, SECOND TRIMESTER",TRUE,"DIABETES; DIABETES.*MELLITUS"
"92","A1C","O24913","UNSPECIFIED DIABETES MELLITUS IN PREGNANCY, THIRD TRIMESTER",TRUE,"DIABETES; DIABETES.*MELLITUS"
"93","A1C","O24919","UNSPECIFIED DIABETES MELLITUS IN PREGNANCY, UNSPECIFIED TRIMESTER",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED"
