CLINICALLY_RELEVANT,VARIABLE_NAME,ICD_DX_CODE,ICD10_DX_DESC,MATCHED_TERMS
,A1C,E113512,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
,A1C,E113513,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
,A1C,E113559,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*MELLITUS.*STABLE; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
,A1C,E113592,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
,A1C,E113593,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
,A1C,E113599,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
,A1C,E1136,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS
,A1C,E1140,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY
,A1C,E1141,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY
,A1C,E1142,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY
,A1C,E1143,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY
,A1C,E1149,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS
,A1C,E1159,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS
,A1C,E11610,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS
,A1C,E11621,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
,A1C,E11622,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
,A1C,E11628,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS
,A1C,E11638,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS
,A1C,E11649,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
,A1C,E1165,,DIABETES; HYPERGLYCEMIA; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
,A1C,E1169,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
,A1C,E118,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*UNSPECIFIED
FALSE,A1C,E119,TYPE 2 DIABETES MELLITUS WITHOUT COMPLICATIONS,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS
FALSE,A1C,E1340,OTHER SPECIFIED DIABETES MELLITUS WITH COMPLICATION,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY
,A1C,E13621,,DIABETES; DIABETES.*MELLITUS
,A1C,E1365,,DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS
FALSE,A1C,E139,OTHER SPECIFIED DIABETES MELLITUS WITHOUT COMPLICATIONS,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS
FALSE,A1C,E232,DIABETES INSIPIDUS,DIABETES
FALSE,A1C,E8881,Metabolic syndrome and other insulin resistance,INSULIN.*RESISTANCE; METABOLIC.*SYNDROME
FALSE,A1C,O24111,"PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN PREGNANCY",DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
,A1C,O24112,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
,A1C,O24113,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
,A1C,O24119,,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED
FALSE,A1C,O24311,"UNSPECIFIED PRE-EXISTING DIABETES MELLITUS IN PREGNANCY, FIRST TRIMESTER",DIABETES; DIABETES.*MELLITUS
FALSE,A1C,O24410,"GESTATIONAL DIABETES MELLITUS IN PREGNANCY, DIET CONTROLLED",DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS
FALSE,A1C,O24414,"GESTATIONAL DIABETES MELLITUS IN PREGNANCY, INSULIN CONTROLLED",DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS
FALSE,A1C,O24419,"GESTATIONAL DIABETES MELLITUS IN PREGNANCY, UNSPECIFIED CONTROL",DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED
FALSE,A1C,O24911,UNSPECIFIED DIABETES MELLITUS IN PREGNANCY,DIABETES; DIABETES.*MELLITUS
,A1C,O24912,,DIABETES; DIABETES.*MELLITUS
,A1C,O24913,,DIABETES; DIABETES.*MELLITUS
,A1C,O24919,,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED
FALSE,A1C,O99810,ABNORMAL GLUCOSE COMPLICATING PREGNANCY,ABNORMAL.*GLUCOSE
FALSE,A1C,R7302,IMPAIRED GLUCOSE TOLERANCE (ORAL),IMPAIRED.*GLUCOSE.*TOLERANCE
FALSE,A1C,R7303,PREDIABETES,DIABETES; PREDIABETES; PREDIABETES
FALSE,A1C,R7309,OTHER ABNORMAL GLUCOSE,ABNORMAL.*GLUCOSE
FALSE,A1C,R739,"HYPERGLYCEMIA, UNSPECIFIED",HYPERGLYCEMIA; HYPERGLYCEMIA.*UNSPECIFIED
FALSE,A1C,Z131,ENCOUNTER FOR SCREENING FOR DIABETES MELLITUS,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,Z833,FAMILY HISTORY OF DIABETES MELLITUS,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,Z8632,PERSONAL HISTORY OF GESTATIONAL DIABETES,DIABETES; GESTATIONAL.*DIABETES
FALSE,ALB,E860,DEHYDRATION,DEHYDRATION
FALSE,BMI,E6601,MORBID (SEVERE) OBESITY DUE TO EXCESS CALORIES,OBESITY; MORBID.*OBESITY; SEVERE.*OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES
FALSE,BMI,E6609,OTHER OBESITY DUE TO EXCESS CALORIES,OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES
FALSE,BMI,E663,OVERWEIGHT,OVERWEIGHT
FALSE,BMI,E668,Other obesity,OBESITY
FALSE,BMI,E669,"OBESITY, UNSPECIFIED",OBESITY
FALSE,BMI,I119,HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE,WITH.*HEART.*FAILURE
FALSE,BMI,O2600,"EXCESSIVE WEIGHT GAIN IN PREGNANCY, UNSPECIFIED TRIMESTER",EXCESSIVE.*WEIGHT; EXCESSIVE.*WEIGHT.*GAIN; EXCESS.*WEIGHT; EXCESSIVE.*WEIGHT.*UNSPECIFIED
FALSE,BMI,O99210,OBESITY COMPLICATING PREGNANCY,OBESITY
,BMI,O99211,,OBESITY
,BMI,O99212,,OBESITY
,BMI,O99213,,OBESITY
FALSE,BP_DIASTOLIC,G932,BENIGN INTRACRANIAL HYPERTENSION,HYPERTENSION; BENIGN.*HYPERTENSION
FALSE,BP_DIASTOLIC,H40053,"OCULAR HYPERTENSION, BILATERAL",HYPERTENSION
FALSE,BP_DIASTOLIC,I10,ESSENTIAL (PRIMARY) HYPERTENSION,HYPERTENSION; ESSENTIAL.*HYPERTENSION
FALSE,BP_DIASTOLIC,I119,HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE,HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE
FALSE,BP_DIASTOLIC,I120,HYPERTENSIVE CHRONIC KIDNEY DISEASE,HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE
,BP_DIASTOLIC,I129,,HYPERTENSIVE.*DISEASE
FALSE,BP_DIASTOLIC,I150,RENOVASCULAR HYPERTENSION,HYPERTENSION
FALSE,BP_DIASTOLIC,I151,HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS,HYPERTENSION
FALSE,BP_DIASTOLIC,I152,HYPERTENSION SECONDARY TO ENDOCRINE DISORDERS,HYPERTENSION
FALSE,BP_DIASTOLIC,I158,OTHER SECONDARY HYPERTENSION,HYPERTENSION; SECONDARY.*HYPERTENSION
FALSE,BP_DIASTOLIC,I159,"SECONDARY HYPERTENSION, UNSPECIFIED",HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED
FALSE,BP_DIASTOLIC,I160,HYPERTENSIVE URGENCY,HYPERTENSIVE.*URGENCY
FALSE,BP_DIASTOLIC,I161,HYPERTENSIVE EMERGENCY,HYPERTENSIVE.*EMERGENCY
FALSE,BP_DIASTOLIC,I2720,"PULMONARY HYPERTENSION, UNSPECIFIED",HYPERTENSION; PULMONARY.*HYPERTENSION
FALSE,BP_DIASTOLIC,I2729,OTHER SECONDARY PULMONARY HYPERTENSION,HYPERTENSION; SECONDARY.*HYPERTENSION; PULMONARY.*HYPERTENSION
FALSE,BP_DIASTOLIC,I87301,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS,HYPERTENSION
,BP_DIASTOLIC,I87303,,HYPERTENSION
,BP_DIASTOLIC,I87309,,HYPERTENSION
FALSE,BP_DIASTOLIC,I87322,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY,HYPERTENSION
FALSE,BP_DIASTOLIC,O10012,PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY,HYPERTENSION; ESSENTIAL.*HYPERTENSION
,BP_DIASTOLIC,O10013,,HYPERTENSION; ESSENTIAL.*HYPERTENSION
,BP_DIASTOLIC,O10019,,HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED
FALSE,BP_DIASTOLIC,O10911,UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY,HYPERTENSION
,BP_DIASTOLIC,O10913,,HYPERTENSION
,BP_DIASTOLIC,O10919,,HYPERTENSION
FALSE,BP_DIASTOLIC,O133,GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA,HYPERTENSION
,BP_DIASTOLIC,O139,,HYPERTENSION
FALSE,BP_DIASTOLIC,O161,UNSPECIFIED MATERNAL HYPERTENSION,HYPERTENSION
,BP_DIASTOLIC,O163,,HYPERTENSION
,BP_DIASTOLIC,O165,,HYPERTENSION
FALSE,BP_DIASTOLIC,R030,"ELEVATED BLOOD-PRESSURE READING, WITHOUT DIAGNOSIS OF HYPERTENSION",HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE
FALSE,BP_SYSTOLIC,G932,BENIGN INTRACRANIAL HYPERTENSION,HYPERTENSION; BENIGN.*HYPERTENSION
FALSE,BP_SYSTOLIC,H40053,"OCULAR HYPERTENSION, BILATERAL",HYPERTENSION
FALSE,BP_SYSTOLIC,I10,ESSENTIAL (PRIMARY) HYPERTENSION,HYPERTENSION; ESSENTIAL.*HYPERTENSION
FALSE,BP_SYSTOLIC,I119,HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE,HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE
FALSE,BP_SYSTOLIC,I120,HYPERTENSIVE CHRONIC KIDNEY DISEASE,HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE
,BP_SYSTOLIC,I129,,HYPERTENSIVE.*DISEASE
FALSE,BP_SYSTOLIC,I150,RENOVASCULAR HYPERTENSION,HYPERTENSION
FALSE,BP_SYSTOLIC,I151,HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS,HYPERTENSION
FALSE,BP_SYSTOLIC,I152,HYPERTENSION SECONDARY TO ENDOCRINE DISORDERS,HYPERTENSION
FALSE,BP_SYSTOLIC,I158,OTHER SECONDARY HYPERTENSION,HYPERTENSION; SECONDARY.*HYPERTENSION
FALSE,BP_SYSTOLIC,I159,"SECONDARY HYPERTENSION, UNSPECIFIED",HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED
FALSE,BP_SYSTOLIC,I160,HYPERTENSIVE URGENCY,HYPERTENSIVE.*URGENCY
FALSE,BP_SYSTOLIC,I161,HYPERTENSIVE EMERGENCY,HYPERTENSIVE.*EMERGENCY
FALSE,BP_SYSTOLIC,I2720,"PULMONARY HYPERTENSION, UNSPECIFIED",HYPERTENSION; PULMONARY.*HYPERTENSION
FALSE,BP_SYSTOLIC,I2729,OTHER SECONDARY PULMONARY HYPERTENSION,HYPERTENSION; SECONDARY.*HYPERTENSION; PULMONARY.*HYPERTENSION
FALSE,BP_SYSTOLIC,I87301,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS,HYPERTENSION
,BP_SYSTOLIC,I87303,,HYPERTENSION
,BP_SYSTOLIC,I87309,,HYPERTENSION
FALSE,BP_SYSTOLIC,I87322,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY,HYPERTENSION
FALSE,BP_SYSTOLIC,O10012,PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY,HYPERTENSION; ESSENTIAL.*HYPERTENSION
,BP_SYSTOLIC,O10013,,HYPERTENSION; ESSENTIAL.*HYPERTENSION
,BP_SYSTOLIC,O10019,,HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED
FALSE,BP_SYSTOLIC,O10911,UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY,HYPERTENSION
,BP_SYSTOLIC,O10913,,HYPERTENSION
,BP_SYSTOLIC,O10919,,HYPERTENSION
FALSE,BP_SYSTOLIC,O133,GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA,HYPERTENSION
,BP_SYSTOLIC,O139,,HYPERTENSION
FALSE,BP_SYSTOLIC,O161,UNSPECIFIED MATERNAL HYPERTENSION,HYPERTENSION
,BP_SYSTOLIC,O163,,HYPERTENSION
,BP_SYSTOLIC,O165,,HYPERTENSION
FALSE,BP_SYSTOLIC,R030,"ELEVATED BLOOD-PRESSURE READING, WITHOUT DIAGNOSIS OF HYPERTENSION",HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE
FALSE,CHOL,E7800,"PURE HYPERCHOLESTEROLEMIA, UNSPECIFIED",HYPERCHOLESTEROLEMIA
