VARIABLE_NAME,ICD_DX_CODE,MATCHED_TERMS,
A1C,E103592,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E103593,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E103599,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
A1C,E1042,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY,
A1C,E1049,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS,
A1C,E10610,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS,
A1C,E10621,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS,
A1C,E10628,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS,
A1C,E10649,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS,
A1C,E1065,DIABETES; HYPERGLYCEMIA; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS,
A1C,E1069,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS,
A1C,E108,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*UNSPECIFIED,
A1C,E109,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS,
A1C,E1100,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E1110,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E1121,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEPHROPATHY,
A1C,E1122,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E1129,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E11311,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
A1C,E11319,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
A1C,E113212,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113219,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
A1C,E113291,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113293,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113299,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
A1C,E113311,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113313,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113391,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113392,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113393,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113511,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113512,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113513,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113559,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*MELLITUS.*STABLE; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
A1C,E113592,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113593,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
A1C,E113599,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
A1C,E1136,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E1140,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY,
A1C,E1141,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY,
A1C,E1142,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY,
A1C,E1143,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY,
A1C,E1149,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E1159,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS,
A1C,E11610,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E11621,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E11622,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E11628,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS,
A1C,E11638,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS,
A1C,E11649,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E1165,DIABETES; HYPERGLYCEMIA; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E1169,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,E118,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*UNSPECIFIED,
A1C,E119,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS,
A1C,E1340,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY,
A1C,E13621,DIABETES; DIABETES.*MELLITUS,
A1C,E1365,DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS,
A1C,E139,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS,
A1C,E8881,INSULIN.*RESISTANCE; METABOLIC.*SYNDROME,
A1C,O24111,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,O24112,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,O24113,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS,
A1C,O24119,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED,
A1C,O24311,DIABETES; DIABETES.*MELLITUS,
A1C,O24410,DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS,
A1C,O24414,DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS,
A1C,O24419,DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED,
A1C,O24911,DIABETES; DIABETES.*MELLITUS,
A1C,O24912,DIABETES; DIABETES.*MELLITUS,
A1C,O24913,DIABETES; DIABETES.*MELLITUS,
A1C,O24919,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED,
A1C,O99810,ABNORMAL.*GLUCOSE,
A1C,R7302,IMPAIRED.*GLUCOSE.*TOLERANCE,
A1C,R7303,DIABETES; PREDIABETES; PREDIABETES,"A lot of pre-diabetics would have borderline HbA1C. Right on the cusp. Some normal, some marginally abnormal. They would be followed annually by serial HbA1C."
A1C,R7309,ABNORMAL.*GLUCOSE,For #99 and #100 we would NOT typically test for HbA1C unless the abnormal glucose has persisted for a few months and or the patient presents with very high glucose and or a complication. 
A1C,R739,HYPERGLYCEMIA; HYPERGLYCEMIA.*UNSPECIFIED,
A1C,Z131,DIABETES; DIABETES.*MELLITUS,
A1C,Z8632,DIABETES; GESTATIONAL.*DIABETES,
BMI,E6601,OBESITY; MORBID.*OBESITY; SEVERE.*OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES,
BMI,E6609,OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES,
BMI,E663,OVERWEIGHT,
BMI,E668,OBESITY,
BMI,E669,OBESITY,
BMI,O2600,EXCESSIVE.*WEIGHT; EXCESSIVE.*WEIGHT.*GAIN; EXCESS.*WEIGHT; EXCESSIVE.*WEIGHT.*UNSPECIFIED,
BMI,O99210,OBESITY,
BMI,O99211,OBESITY,
BMI,O99212,OBESITY,
BMI,O99213,OBESITY,
BP_DIASTOLIC,I10,HYPERTENSION; ESSENTIAL.*HYPERTENSION,
BP_DIASTOLIC,I119,HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE,
BP_DIASTOLIC,I120,HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE,
BP_DIASTOLIC,I129,HYPERTENSIVE.*DISEASE,
BP_DIASTOLIC,I150,HYPERTENSION,
BP_DIASTOLIC,I151,HYPERTENSION,
BP_DIASTOLIC,I152,HYPERTENSION,
BP_DIASTOLIC,I158,HYPERTENSION; SECONDARY.*HYPERTENSION,
BP_DIASTOLIC,I159,HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED,
BP_DIASTOLIC,I160,HYPERTENSIVE.*URGENCY,
BP_DIASTOLIC,I161,HYPERTENSIVE.*EMERGENCY,
BP_DIASTOLIC,I87303,HYPERTENSION,
BP_DIASTOLIC,I87309,HYPERTENSION,
BP_DIASTOLIC,O10012,HYPERTENSION; ESSENTIAL.*HYPERTENSION,
BP_DIASTOLIC,O10013,HYPERTENSION; ESSENTIAL.*HYPERTENSION,
BP_DIASTOLIC,O10019,HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED,
BP_DIASTOLIC,O10911,HYPERTENSION,
BP_DIASTOLIC,O10913,HYPERTENSION,
BP_DIASTOLIC,O10919,HYPERTENSION,
BP_DIASTOLIC,O133,HYPERTENSION,
BP_DIASTOLIC,O139,HYPERTENSION,
BP_DIASTOLIC,O161,HYPERTENSION,
BP_DIASTOLIC,O163,HYPERTENSION,
BP_DIASTOLIC,O165,HYPERTENSION,
BP_DIASTOLIC,R030,HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE,
BP_SYSTOLIC,I10,HYPERTENSION; ESSENTIAL.*HYPERTENSION,
BP_SYSTOLIC,I119,HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE,
BP_SYSTOLIC,I120,HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE,
BP_SYSTOLIC,I129,HYPERTENSIVE.*DISEASE,
BP_SYSTOLIC,I150,HYPERTENSION,
BP_SYSTOLIC,I151,HYPERTENSION,
BP_SYSTOLIC,I152,HYPERTENSION,
BP_SYSTOLIC,I158,HYPERTENSION; SECONDARY.*HYPERTENSION,
BP_SYSTOLIC,I159,HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED,
BP_SYSTOLIC,I160,HYPERTENSIVE.*URGENCY,
BP_SYSTOLIC,I161,HYPERTENSIVE.*EMERGENCY,
BP_SYSTOLIC,I87303,HYPERTENSION,
BP_SYSTOLIC,I87309,HYPERTENSION,
BP_SYSTOLIC,O10012,HYPERTENSION; ESSENTIAL.*HYPERTENSION,
BP_SYSTOLIC,O10013,HYPERTENSION; ESSENTIAL.*HYPERTENSION,
BP_SYSTOLIC,O10019,HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED,
BP_SYSTOLIC,O10911,HYPERTENSION,
BP_SYSTOLIC,O10913,HYPERTENSION,
BP_SYSTOLIC,O10919,HYPERTENSION,
BP_SYSTOLIC,O133,HYPERTENSION,
BP_SYSTOLIC,O139,HYPERTENSION,
BP_SYSTOLIC,O161,HYPERTENSION,
BP_SYSTOLIC,O163,HYPERTENSION,
BP_SYSTOLIC,O165,HYPERTENSION,
BP_SYSTOLIC,R030,HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE,
CHOL,E7800,HYPERCHOLESTEROLEMIA,
CHOL,E78010,HYPERCHOLESTEROLEMIA,
CHOL,E782,HYPERLIPIDEMIA,
CHOL,E7849,HYPERLIPIDEMIA,
CHOL,E785,HYPERLIPIDEMIA,
CHOL,Z8342,HYPERCHOLESTEROLEMIA,
CREAT_C,E0821,NEPHROPATHY,
CREAT_C,I120,END.*STAGE.*RENAL.*DISEASE; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5,
CREAT_C,I129,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4,
CREAT_C,M10372,RENAL.*IMPAIRMENT,
CREAT_C,N141,NEPHROPATHY,
CREAT_C,N170,KIDNEY.*FAILURE; ACUTE.*TUBULAR.*NECROSIS,
CREAT_C,N179,KIDNEY.*FAILURE,
CREAT_C,N181,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1,
CREAT_C,N182,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*2; CHRONIC.*KIDNEY.*DISEASE.*MILD,
CREAT_C,N1830,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3,
CREAT_C,N1830,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3,
CREAT_C,N1831,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3,
CREAT_C,N184,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4; CHRONIC.*KIDNEY.*DISEASE.*SEVERE,
CREAT_C,N185,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5,
CREAT_C,N186,END.*STAGE.*RENAL.*DISEASE,
CRP,A029,INFECTION,Not specific for Salmonella. CRP is elevated in all infections ( inflammatory states)
CRP,A040,INFECTION,
CRP,A048,INFECTION; BACTERIAL.*INFECTION,
CRP,A049,INFECTION; BACTERIAL.*INFECTION,
CRP,A084,INFECTION; VIRAL.*INFECTION,
CRP,A4101,SEPSIS,
CRP,A419,SEPSIS,
CRP,A499,INFECTION; BACTERIAL.*INFECTION,
CRP,A549,INFECTION,
CRP,A6001,INFECTION; VIRAL.*INFECTION,
CRP,A6002,INFECTION; VIRAL.*INFECTION,
CRP,A6009,INFECTION; VIRAL.*INFECTION,
CRP,A601,INFECTION; VIRAL.*INFECTION,
CRP,B09,INFECTION; VIRAL.*INFECTION,
CRP,B348,INFECTION; VIRAL.*INFECTION,
CRP,B349,INFECTION; VIRAL.*INFECTION,
CRP,B9561,INFECTION,
CRP,B9562,INFECTION,
CRP,E790,INFLAMMATORY.*ARTHRITIS; INFLAMMATORY.*DISEASE,
CRP,J069,INFECTION,
CRP,J22,INFECTION,
CRP,K8500,INFECTION,
CRP,K8510,INFECTION,
CRP,K8520,INFECTION,
CRP,K8590,INFECTION,
CRP,L930,LUPUS,
CRP,L932,LUPUS,
CRP,M01X9,INFECTION,
CRP,M05741,RHEUMATOID.*ARTHRITIS,
CRP,M05742,RHEUMATOID.*ARTHRITIS,
CRP,M0579,RHEUMATOID.*ARTHRITIS,
CRP,M059,RHEUMATOID.*ARTHRITIS,
CRP,M0600,RHEUMATOID.*ARTHRITIS,
CRP,M069,RHEUMATOID.*ARTHRITIS,
CRP,M320,LUPUS,
CRP,M3210,LUPUS,
CRP,M3212,LUPUS,
CRP,M3213,LUPUS,
CRP,M3214,LUPUS,
CRP,M3219,LUPUS,
CRP,M329,LUPUS,
CRP,N390,INFECTION,
CRP,N419,INFLAMMATORY.*STATE; INFLAMMATORY.*DISEASE,
CRP,N72,INFLAMMATORY.*DISEASE,
CRP,O2341,INFECTION,
CRP,O2343,INFECTION,
CRP,R6520,SEPSIS,
CRP,R7982,ELEVATED.*CRP,
CRP,T80219A,INFECTION,
CRP,T8149XA,INFECTION,
CRP,T826XXD,INFECTION,
HCST,D510,VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY,
HCST,D519,VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY.*UNSPECIFIED,
HCST,E539,VITAMIN.*DEFICIENCY,
HCST,E559,VITAMIN.*DEFICIENCY,
HCST,E569,VITAMIN.*DEFICIENCY,
TRIG,E782,HYPERLIPIDEMIA,
TRIG,E7849,HYPERLIPIDEMIA,
TRIG,E785,HYPERLIPIDEMIA,
