CLINICALLY_RELEVANT,VARIABLE_NAME,ICD_DX_CODE,MATCHED_TERMS
TRUE,A1C,E103299,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E103312,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E103391,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E103493,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E103511,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E103591,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E103592,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E103593,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E103599,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E1042,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY
TRUE,A1C,E1049,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS
TRUE,A1C,E10610,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS
TRUE,A1C,E10621,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS
TRUE,A1C,E10628,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS
TRUE,A1C,E10649,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS
TRUE,A1C,E1065,DIABETES; HYPERGLYCEMIA; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS
TRUE,A1C,E1069,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS
TRUE,A1C,E108,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*UNSPECIFIED
TRUE,A1C,E109,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS
TRUE,A1C,E1100,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E1110,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E1121,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEPHROPATHY
TRUE,A1C,E1122,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E1129,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E11311,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E11319,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113212,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113219,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113291,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113293,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113299,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113311,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113313,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113391,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113392,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113393,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113511,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113512,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113513,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113559,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*MELLITUS.*STABLE; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113592,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113593,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E113599,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY
TRUE,A1C,E1136,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E1140,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY
TRUE,A1C,E1141,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY
TRUE,A1C,E1142,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY
TRUE,A1C,E1143,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY
TRUE,A1C,E1149,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E1159,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS
TRUE,A1C,E11610,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETIC; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E11621,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E11622,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E11628,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS
TRUE,A1C,E11638,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS
TRUE,A1C,E11649,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E1165,DIABETES; HYPERGLYCEMIA; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E1169,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
TRUE,A1C,E118,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS; TYPE.*2.*DIABETES.*UNSPECIFIED
TRUE,A1C,E119,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS; TYPE.*2.*DIABETES.*WITH.*COMPLICATIONS
FALSE,A1C,E1340,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY
FALSE,A1C,E13621,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,E1365,DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS
FALSE,A1C,E139,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS
FALSE,A1C,E232,DIABETES
FALSE,A1C,E8881,INSULIN.*RESISTANCE; METABOLIC.*SYNDROME
F (Including Pregnant patients?),A1C,O24111,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24112,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24113,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24119,DIABETES; TYPE.*2.*DIABETES; DIABETES.*MELLITUS; TYPE.*2.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*2.*DIABETES.*UNSPECIFIED
F (Including Pregnant patients?),A1C,O24311,DIABETES; DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24410,DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24414,DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24419,DIABETES; GESTATIONAL.*DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED
F (Including Pregnant patients?),A1C,O24911,DIABETES; DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24912,DIABETES; DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24913,DIABETES; DIABETES.*MELLITUS
F (Including Pregnant patients?),A1C,O24919,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED
F (Including Pregnant patients?),A1C,O99810,ABNORMAL.*GLUCOSE
T (Assuming that we considered A1c>=5.7 to be abnormal),A1C,R7302,IMPAIRED.*GLUCOSE.*TOLERANCE
T (Assuming that we considered A1c>=5.7 to be abnormal),A1C,R7303,DIABETES; PREDIABETES; PREDIABETES
T (Assuming that we considered A1c>=5.7 to be abnormal),A1C,R7309,ABNORMAL.*GLUCOSE
T (Assuming that we considered A1c>=5.7 to be abnormal),A1C,R739,HYPERGLYCEMIA; HYPERGLYCEMIA.*UNSPECIFIED
FALSE,A1C,Z131,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,Z833,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,Z8632,DIABETES; GESTATIONAL.*DIABETES
FALSE,ALB,E860,DEHYDRATION
TRUE,BMI,E6601,OBESITY; MORBID.*OBESITY; SEVERE.*OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES
TRUE,BMI,E6609,OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES
TRUE,BMI,E663,OVERWEIGHT
TRUE,BMI,E668,OBESITY
TRUE,BMI,E669,OBESITY
FALSE,BMI,I119,WITH.*HEART.*FAILURE
FALSE,BMI,O2600,EXCESSIVE.*WEIGHT; EXCESSIVE.*WEIGHT.*GAIN; EXCESS.*WEIGHT; EXCESSIVE.*WEIGHT.*UNSPECIFIED
FALSE,BMI,O99210,OBESITY
FALSE,BMI,O99211,OBESITY
FALSE,BMI,O99212,OBESITY
FALSE,BMI,O99213,OBESITY
FALSE,BP_DIASTOLIC,G932,HYPERTENSION; BENIGN.*HYPERTENSION
FALSE,BP_DIASTOLIC,H40053,HYPERTENSION
TRUE,BP_DIASTOLIC,I10,HYPERTENSION; ESSENTIAL.*HYPERTENSION
TRUE,BP_DIASTOLIC,I119,HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE
TRUE,BP_DIASTOLIC,I120,HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE
TRUE,BP_DIASTOLIC,I129,HYPERTENSIVE.*DISEASE
TRUE,BP_DIASTOLIC,I150,HYPERTENSION
TRUE,BP_DIASTOLIC,I151,HYPERTENSION
TRUE,BP_DIASTOLIC,I152,HYPERTENSION
TRUE,BP_DIASTOLIC,I158,HYPERTENSION; SECONDARY.*HYPERTENSION
TRUE,BP_DIASTOLIC,I159,HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED
TRUE,BP_DIASTOLIC,I160,HYPERTENSIVE.*URGENCY
TRUE,BP_DIASTOLIC,I161,HYPERTENSIVE.*EMERGENCY
FALSE,BP_DIASTOLIC,I2720,HYPERTENSION; PULMONARY.*HYPERTENSION
FALSE,BP_DIASTOLIC,I2729,HYPERTENSION; SECONDARY.*HYPERTENSION; PULMONARY.*HYPERTENSION
FALSE,BP_DIASTOLIC,I87301,HYPERTENSION
FALSE,BP_DIASTOLIC,I87303,HYPERTENSION
FALSE,BP_DIASTOLIC,I87309,HYPERTENSION
FALSE,BP_DIASTOLIC,I87322,HYPERTENSION
FALSE,BP_DIASTOLIC,O10012,HYPERTENSION; ESSENTIAL.*HYPERTENSION
FALSE,BP_DIASTOLIC,O10013,HYPERTENSION; ESSENTIAL.*HYPERTENSION
FALSE,BP_DIASTOLIC,O10019,HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED
FALSE,BP_DIASTOLIC,O10911,HYPERTENSION
FALSE,BP_DIASTOLIC,O10913,HYPERTENSION
FALSE,BP_DIASTOLIC,O10919,HYPERTENSION
FALSE,BP_DIASTOLIC,O133,HYPERTENSION
FALSE,BP_DIASTOLIC,O139,HYPERTENSION
FALSE,BP_DIASTOLIC,O161,HYPERTENSION
FALSE,BP_DIASTOLIC,O163,HYPERTENSION
FALSE,BP_DIASTOLIC,O165,HYPERTENSION
FALSE,BP_DIASTOLIC,R030,HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE
FALSE,BP_SYSTOLIC,G932,HYPERTENSION; BENIGN.*HYPERTENSION
FALSE,BP_SYSTOLIC,H40053,HYPERTENSION
TRUE,BP_SYSTOLIC,I10,HYPERTENSION; ESSENTIAL.*HYPERTENSION
TRUE,BP_SYSTOLIC,I119,HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE
TRUE,BP_SYSTOLIC,I120,HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE
TRUE,BP_SYSTOLIC,I129,HYPERTENSIVE.*DISEASE
TRUE,BP_SYSTOLIC,I150,HYPERTENSION
TRUE,BP_SYSTOLIC,I151,HYPERTENSION
TRUE,BP_SYSTOLIC,I152,HYPERTENSION
TRUE,BP_SYSTOLIC,I158,HYPERTENSION; SECONDARY.*HYPERTENSION
TRUE,BP_SYSTOLIC,I159,HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED
TRUE,BP_SYSTOLIC,I160,HYPERTENSIVE.*URGENCY
TRUE,BP_SYSTOLIC,I161,HYPERTENSIVE.*EMERGENCY
FALSE,BP_SYSTOLIC,I2720,HYPERTENSION; PULMONARY.*HYPERTENSION
FALSE,BP_SYSTOLIC,I2729,HYPERTENSION; SECONDARY.*HYPERTENSION; PULMONARY.*HYPERTENSION
FALSE,BP_SYSTOLIC,I87301,HYPERTENSION
FALSE,BP_SYSTOLIC,I87303,HYPERTENSION
FALSE,BP_SYSTOLIC,I87309,HYPERTENSION
FALSE,BP_SYSTOLIC,I87322,HYPERTENSION
FALSE,BP_SYSTOLIC,O10012,HYPERTENSION; ESSENTIAL.*HYPERTENSION
FALSE,BP_SYSTOLIC,O10013,HYPERTENSION; ESSENTIAL.*HYPERTENSION
FALSE,BP_SYSTOLIC,O10019,HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED
FALSE,BP_SYSTOLIC,O10911,HYPERTENSION
FALSE,BP_SYSTOLIC,O10913,HYPERTENSION
FALSE,BP_SYSTOLIC,O10919,HYPERTENSION
FALSE,BP_SYSTOLIC,O133,HYPERTENSION
FALSE,BP_SYSTOLIC,O139,HYPERTENSION
FALSE,BP_SYSTOLIC,O161,HYPERTENSION
FALSE,BP_SYSTOLIC,O163,HYPERTENSION
FALSE,BP_SYSTOLIC,O165,HYPERTENSION
FALSE,BP_SYSTOLIC,R030,HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE
TRUE,CHOL,E7800,HYPERCHOLESTEROLEMIA
TRUE,CHOL,E78010,HYPERCHOLESTEROLEMIA
TRUE,CHOL,E782,HYPERLIPIDEMIA
TRUE,CHOL,E7849,HYPERLIPIDEMIA
TRUE,CHOL,E785,HYPERLIPIDEMIA
TRUE,CHOL,Z8342,HYPERCHOLESTEROLEMIA
TRUE,CREAT_C,E0821,NEPHROPATHY
TRUE,CREAT_C,E1121,NEPHROPATHY
TRUE,CREAT_C,I120,END.*STAGE.*RENAL.*DISEASE; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5
TRUE,CREAT_C,I129,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4
TRUE,CREAT_C,M10371,RENAL.*IMPAIRMENT
TRUE,CREAT_C,M10372,RENAL.*IMPAIRMENT
TRUE,CREAT_C,M1A3710,RENAL.*IMPAIRMENT
FALSE,CREAT_C,N141,NEPHROPATHY
TRUE,CREAT_C,N170,KIDNEY.*FAILURE; ACUTE.*TUBULAR.*NECROSIS
TRUE,CREAT_C,N179,KIDNEY.*FAILURE
TRUE,CREAT_C,N181,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1
TRUE,CREAT_C,N182,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*2; CHRONIC.*KIDNEY.*DISEASE.*MILD
TRUE,CREAT_C,N1830,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3
TRUE,CREAT_C,N1830,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3
TRUE,CREAT_C,N1831,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3
TRUE,CREAT_C,N184,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4; CHRONIC.*KIDNEY.*DISEASE.*SEVERE
TRUE,CREAT_C,N185,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5
TRUE,CREAT_C,N186,END.*STAGE.*RENAL.*DISEASE
FALSE,CRP,A029,INFECTION
FALSE,CRP,A040,INFECTION
FALSE,CRP,A048,INFECTION; BACTERIAL.*INFECTION
FALSE,CRP,A049,INFECTION; BACTERIAL.*INFECTION
FALSE,CRP,A084,INFECTION; VIRAL.*INFECTION
FALSE,CRP,A4101,SEPSIS
FALSE,CRP,A419,SEPSIS
FALSE,CRP,A499,INFECTION; BACTERIAL.*INFECTION
FALSE,CRP,A549,INFECTION
FALSE,CRP,A568,INFECTION
FALSE,CRP,A6000,INFECTION; VIRAL.*INFECTION
FALSE,CRP,A6001,INFECTION; VIRAL.*INFECTION
FALSE,CRP,A6002,INFECTION; VIRAL.*INFECTION
FALSE,CRP,A6009,INFECTION; VIRAL.*INFECTION
FALSE,CRP,A601,INFECTION; VIRAL.*INFECTION
FALSE,CRP,A749,INFECTION
FALSE,CRP,B0089,INFECTION; VIRAL.*INFECTION
FALSE,CRP,B009,INFECTION; VIRAL.*INFECTION
FALSE,CRP,B09,INFECTION; VIRAL.*INFECTION
FALSE,CRP,B348,INFECTION; VIRAL.*INFECTION
FALSE,CRP,B349,INFECTION; VIRAL.*INFECTION
FALSE,CRP,B9561,INFECTION
FALSE,CRP,B9562,INFECTION
FALSE,CRP,E790,INFLAMMATORY.*ARTHRITIS; INFLAMMATORY.*DISEASE
FALSE,CRP,J069,INFECTION
FALSE,CRP,J22,INFECTION
FALSE,CRP,J440,INFECTION
FALSE,CRP,K660,INFECTION
FALSE,CRP,K759,INFLAMMATORY.*DISEASE
FALSE,CRP,K8500,INFECTION
FALSE,CRP,K8510,INFECTION
FALSE,CRP,K8520,INFECTION
FALSE,CRP,K8590,INFECTION
