"Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_context_loop_icd10"
"ALB","N049","NEPHROTIC SYNDROME WITH UNSPECIFIED MORPHOLOGIC CHANGES","NEPHROTIC.*SYNDROME"
"ALB","N419","INFLAMMATORY DISEASE OF PROSTATE, UNSPECIFIED","INFLAMMATORY.*DISEASE"
"ALB","N72","INFLAMMATORY DISEASE OF CERVIX UTERI","INFLAMMATORY.*DISEASE"
"ALB","N739","FEMALE PELVIC INFLAMMATORY DISEASE, UNSPECIFIED","INFLAMMATORY.*DISEASE"
"ALB","R6520","SEVERE SEPSIS WITHOUT SEPTIC SHOCK","SEPSIS"
"BMI","E65","LOCALIZED ADIPOSITY","ADIPOSITY"
"BP_DIASTOLIC","I87322","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY","HYPERTENSION"
"BP_SYSTOLIC","I87322","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY","HYPERTENSION"
"CHOL","I25810","ATHEROSCLEROSIS OF CORONARY ARTERY BYPASS GRAFT(S) WITHOUT ANGINA PECTORIS","ATHEROSCLEROSIS"
"CHOL","I25812","ATHEROSCLEROSIS OF BYPASS GRAFT OF CORONARY ARTERY OF TRANSPLANTED HEART WITHOUT ANGINA PECTORIS","ATHEROSCLEROSIS"
"CHOL","I2584","CORONARY ATHEROSCLEROSIS DUE TO CALCIFIED CORONARY LESION","ATHEROSCLEROSIS"
"CHOL","I700","ATHEROSCLEROSIS OF AORTA","ATHEROSCLEROSIS"
"CHOL","I701","ATHEROSCLEROSIS OF RENAL ARTERY","ATHEROSCLEROSIS"
"CHOL","I7090","UNSPECIFIED ATHEROSCLEROSIS","ATHEROSCLEROSIS"
"CREAT_C","D631","ANEMIA IN CHRONIC KIDNEY DISEASE","KIDNEY.*DISEASE; CHRONIC.*KIDNEY.*DISEASE"
"CREAT_C","E1122","TYPE 2 DIABETES MELLITUS WITH DIABETIC CHRONIC KIDNEY DISEASE","KIDNEY.*DISEASE; CHRONIC.*KIDNEY.*DISEASE"
"CREAT_C","M3214","GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS","GLOMERULAR.*DISEASE"
"CREAT_C","N10","ACUTE PYELONEPHRITIS","NEPHRITIS; PYELONEPHRITIS"
"CREAT_C","N12","TUBULO-INTERSTITIAL NEPHRITIS, NOT SPECIFIED AS ACUTE OR CHRONIC","NEPHRITIS; INTERSTITIAL.*NEPHRITIS"
"CREAT_C","N189","CHRONIC KIDNEY DISEASE, UNSPECIFIED","KIDNEY.*DISEASE; CHRONIC.*KIDNEY.*DISEASE"
"CRP","A0222","SALMONELLA PNEUMONIA","PNEUMONIA"
"CRP","A09","INFECTIOUS GASTROENTERITIS AND COLITIS, UNSPECIFIED","COLITIS"
"CRP","A4101","SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS","SEPSIS"
"CRP","A419","SEPSIS, UNSPECIFIED ORGANISM","SEPSIS"
"CRP","B169","ACUTE HEPATITIS B WITHOUT DELTA-AGENT AND WITHOUT HEPATIC COMA","HEPATITIS"
"CRP","B1710","ACUTE HEPATITIS C WITHOUT HEPATIC COMA","HEPATITIS"
"CRP","B182","CHRONIC VIRAL HEPATITIS C","HEPATITIS"
"CRP","B189","CHRONIC VIRAL HEPATITIS, UNSPECIFIED","HEPATITIS"
"CRP","B1920","UNSPECIFIED VIRAL HEPATITIS C WITHOUT HEPATIC COMA","HEPATITIS"
"CRP","D701","AGRANULOCYTOSIS SECONDARY TO CANCER CHEMOTHERAPY","CANCER"
"CRP","E790","HYPERURICEMIA WITHOUT SIGNS OF INFLAMMATORY ARTHRITIS AND TOPHACEOUS DISEASE","ARTHRITIS; INFLAMMATORY.*DISEASE; INFLAMMATORY.*ARTHRITIS"
"CRP","F4310","POST-TRAUMATIC STRESS DISORDER, UNSPECIFIED","TRAUMA"
"CRP","G038","MENINGITIS DUE TO OTHER SPECIFIED CAUSES","MENINGITIS"
"CRP","G039","MENINGITIS, UNSPECIFIED","MENINGITIS"
"CRP","G44309","POST-TRAUMATIC HEADACHE, UNSPECIFIED, NOT INTRACTABLE","TRAUMA"
"CRP","G44311","ACUTE POST-TRAUMATIC HEADACHE, INTRACTABLE","TRAUMA"
"CRP","G44319","ACUTE POST-TRAUMATIC HEADACHE, NOT INTRACTABLE","TRAUMA"
"CRP","G44321","CHRONIC POST-TRAUMATIC HEADACHE, INTRACTABLE","TRAUMA"
"CRP","G44329","CHRONIC POST-TRAUMATIC HEADACHE, NOT INTRACTABLE","TRAUMA"
"CRP","G8911","ACUTE PAIN DUE TO TRAUMA","TRAUMA"
"CRP","G8921","CHRONIC PAIN DUE TO TRAUMA","TRAUMA"
"CRP","H31012","MACULA SCARS OF POSTERIOR POLE (POSTINFLAMMATORY) (POST-TRAUMATIC), LEFT EYE","TRAUMA"
"CRP","H6011","CELLULITIS OF RIGHT EXTERNAL EAR","CELLULITIS"
"CRP","I2102","ST ELEVATION (STEMI) MYOCARDIAL INFARCTION INVOLVING LEFT ANTERIOR DESCENDING CORONARY ARTERY","MYOCARDIAL.*INFARCTION"
"CRP","I2111","ST ELEVATION (STEMI) MYOCARDIAL INFARCTION INVOLVING RIGHT CORONARY ARTERY","MYOCARDIAL.*INFARCTION"
"CRP","I213","ST ELEVATION (STEMI) MYOCARDIAL INFARCTION OF UNSPECIFIED SITE","MYOCARDIAL.*INFARCTION"
"CRP","I214","NON-ST ELEVATION (NSTEMI) MYOCARDIAL INFARCTION","MYOCARDIAL.*INFARCTION"
"CRP","I219","ACUTE MYOCARDIAL INFARCTION, UNSPECIFIED","MYOCARDIAL.*INFARCTION"
"CRP","I252","OLD MYOCARDIAL INFARCTION","MYOCARDIAL.*INFARCTION"
"CRP","I38","ENDOCARDITIS, VALVE UNSPECIFIED","ENDOCARDITIS"
"CRP","I514","MYOCARDITIS, UNSPECIFIED","MYOCARDITIS"
"CRP","I607","NONTRAUMATIC SUBARACHNOID HEMORRHAGE FROM UNSPECIFIED INTRACRANIAL ARTERY","TRAUMA"
"CRP","I609","NONTRAUMATIC SUBARACHNOID HEMORRHAGE, UNSPECIFIED","TRAUMA"
"CRP","I619","NONTRAUMATIC INTRACEREBRAL HEMORRHAGE, UNSPECIFIED","TRAUMA"
"CRP","I8310","VARICOSE VEINS OF UNSPECIFIED LOWER EXTREMITY WITH INFLAMMATION","INFLAMMATION"
"CRP","I8311","VARICOSE VEINS OF RIGHT LOWER EXTREMITY WITH INFLAMMATION","INFLAMMATION"
"CRP","I8312","VARICOSE VEINS OF LEFT LOWER EXTREMITY WITH INFLAMMATION","INFLAMMATION"
"CRP","I87322","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY","INFLAMMATION; CHRONIC.*INFLAMMATION"
"CRP","J0100","ACUTE MAXILLARY SINUSITIS, UNSPECIFIED","SINUSITIS"
"CRP","J0101","ACUTE RECURRENT MAXILLARY SINUSITIS","SINUSITIS"
"CRP","J0110","ACUTE FRONTAL SINUSITIS, UNSPECIFIED","SINUSITIS"
"CRP","J0111","ACUTE RECURRENT FRONTAL SINUSITIS","SINUSITIS"
"CRP","J0120","ACUTE ETHMOIDAL SINUSITIS, UNSPECIFIED","SINUSITIS"
"CRP","J0121","ACUTE RECURRENT ETHMOIDAL SINUSITIS","SINUSITIS"
"CRP","J0140","ACUTE PANSINUSITIS, UNSPECIFIED","SINUSITIS"
"CRP","J0141","ACUTE RECURRENT PANSINUSITIS","SINUSITIS"
"CRP","J0180","OTHER ACUTE SINUSITIS","SINUSITIS"
"CRP","J0190","ACUTE SINUSITIS, UNSPECIFIED","SINUSITIS"
"CRP","J0191","ACUTE RECURRENT SINUSITIS, UNSPECIFIED","SINUSITIS"
"CRP","J123","HUMAN METAPNEUMOVIRUS PNEUMONIA","PNEUMONIA"
"CRP","J129","VIRAL PNEUMONIA, UNSPECIFIED","PNEUMONIA"
"CRP","J159","UNSPECIFIED BACTERIAL PNEUMONIA","PNEUMONIA"
"CRP","J180","BRONCHOPNEUMONIA, UNSPECIFIED ORGANISM","PNEUMONIA"
"CRP","J189","PNEUMONIA, UNSPECIFIED ORGANISM","PNEUMONIA"
"CRP","J200","ACUTE BRONCHITIS DUE TO MYCOPLASMA PNEUMONIAE","PNEUMONIA; BRONCHITIS"
"CRP","J208","ACUTE BRONCHITIS DUE TO OTHER SPECIFIED ORGANISMS","BRONCHITIS"
"CRP","J209","ACUTE BRONCHITIS, UNSPECIFIED","BRONCHITIS"
"CRP","J320","CHRONIC MAXILLARY SINUSITIS","SINUSITIS"
"CRP","J321","CHRONIC FRONTAL SINUSITIS","SINUSITIS"
"CRP","J322","CHRONIC ETHMOIDAL SINUSITIS","SINUSITIS"
"CRP","J324","CHRONIC PANSINUSITIS","SINUSITIS"
"CRP","J328","OTHER CHRONIC SINUSITIS","SINUSITIS"
"CRP","J329","CHRONIC SINUSITIS, UNSPECIFIED","SINUSITIS"
"CRP","J40","BRONCHITIS, NOT SPECIFIED AS ACUTE OR CHRONIC","BRONCHITIS"
"CRP","J410","SIMPLE CHRONIC BRONCHITIS","BRONCHITIS"
"CRP","J411","MUCOPURULENT CHRONIC BRONCHITIS","BRONCHITIS"
"CRP","J418","MIXED SIMPLE AND MUCOPURULENT CHRONIC BRONCHITIS","BRONCHITIS"
"CRP","J42","UNSPECIFIED CHRONIC BRONCHITIS","BRONCHITIS"
"CRP","J84117","DESQUAMATIVE INTERSTITIAL PNEUMONIA","PNEUMONIA"
"CRP","K122","CELLULITIS AND ABSCESS OF MOUTH","CELLULITIS"
"CRP","K3530","ACUTE APPENDICITIS WITH LOCALIZED PERITONITIS, WITHOUT PERFORATION OR GANGRENE","APPENDICITIS"
"CRP","K3580","UNSPECIFIED ACUTE APPENDICITIS","APPENDICITIS"
"CRP","K35890","OTHER ACUTE APPENDICITIS WITHOUT PERFORATION OR GANGRENE","APPENDICITIS"
"CRP","K37","UNSPECIFIED APPENDICITIS","APPENDICITIS"
"CRP","K5100","ULCERATIVE (CHRONIC) PANCOLITIS WITHOUT COMPLICATIONS","COLITIS"
"CRP","K51011","ULCERATIVE (CHRONIC) PANCOLITIS WITH RECTAL BLEEDING","COLITIS"
"CRP","K51511","LEFT SIDED COLITIS WITH RECTAL BLEEDING","COLITIS"
"CRP","K51811","OTHER ULCERATIVE COLITIS WITH RECTAL BLEEDING","COLITIS"
"CRP","K5190","ULCERATIVE COLITIS, UNSPECIFIED, WITHOUT COMPLICATIONS","COLITIS"
"CRP","K51911","ULCERATIVE COLITIS, UNSPECIFIED WITH RECTAL BLEEDING","COLITIS"
"CRP","K521","TOXIC GASTROENTERITIS AND COLITIS","COLITIS"
"CRP","K5229","OTHER ALLERGIC AND DIETETIC GASTROENTERITIS AND COLITIS","COLITIS"
"CRP","K52831","COLLAGENOUS COLITIS","COLITIS"
"CRP","K52838","OTHER MICROSCOPIC COLITIS","COLITIS"
"CRP","K529","NONINFECTIVE GASTROENTERITIS AND COLITIS, UNSPECIFIED","COLITIS"
"CRP","K5732","DIVERTICULITIS OF LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS WITHOUT BLEEDING","DIVERTICULITIS"
"CRP","K5733","DIVERTICULITIS OF LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS WITH BLEEDING","DIVERTICULITIS"
"CRP","K5792","DIVERTICULITIS OF INTESTINE, PART UNSPECIFIED, WITHOUT PERFORATION OR ABSCESS WITHOUT BLEEDING","DIVERTICULITIS"
"CRP","K7010","ALCOHOLIC HEPATITIS WITHOUT ASCITES","HEPATITIS"
"CRP","K7581","NONALCOHOLIC STEATOHEPATITIS (NASH)","HEPATITIS"
"CRP","K759","INFLAMMATORY LIVER DISEASE, UNSPECIFIED","INFLAMMATORY.*DISEASE"
"CRP","K8000","CALCULUS OF GALLBLADDER WITH ACUTE CHOLECYSTITIS WITHOUT OBSTRUCTION","CHOLECYSTITIS"
"CRP","K8001","CALCULUS OF GALLBLADDER WITH ACUTE CHOLECYSTITIS WITH OBSTRUCTION","CHOLECYSTITIS"
"CRP","K8010","CALCULUS OF GALLBLADDER WITH CHRONIC CHOLECYSTITIS WITHOUT OBSTRUCTION","CHOLECYSTITIS"
"CRP","K8020","CALCULUS OF GALLBLADDER WITHOUT CHOLECYSTITIS WITHOUT OBSTRUCTION","CHOLECYSTITIS"
"CRP","K8021","CALCULUS OF GALLBLADDER WITHOUT CHOLECYSTITIS WITH OBSTRUCTION","CHOLECYSTITIS"
"CRP","K8050","CALCULUS OF BILE DUCT WITHOUT CHOLANGITIS OR CHOLECYSTITIS WITHOUT OBSTRUCTION","CHOLECYSTITIS"
"CRP","K810","ACUTE CHOLECYSTITIS","CHOLECYSTITIS"
"CRP","K811","CHRONIC CHOLECYSTITIS","CHOLECYSTITIS"
"CRP","K819","CHOLECYSTITIS, UNSPECIFIED","CHOLECYSTITIS"
"CRP","K860","ALCOHOL-INDUCED CHRONIC PANCREATITIS","PANCREATITIS"
"CRP","K861","OTHER CHRONIC PANCREATITIS","PANCREATITIS"
"CRP","L03011","CELLULITIS OF RIGHT FINGER","CELLULITIS"
"CRP","L03012","CELLULITIS OF LEFT FINGER","CELLULITIS"
"CRP","L03019","CELLULITIS OF UNSPECIFIED FINGER","CELLULITIS"
"CRP","L03031","CELLULITIS OF RIGHT TOE","CELLULITIS"
"CRP","L03032","CELLULITIS OF LEFT TOE","CELLULITIS"
"CRP","L03111","CELLULITIS OF RIGHT AXILLA","CELLULITIS"
"CRP","L03112","CELLULITIS OF LEFT AXILLA","CELLULITIS"
"CRP","L03113","CELLULITIS OF RIGHT UPPER LIMB","CELLULITIS"
"CRP","L03114","CELLULITIS OF LEFT UPPER LIMB","CELLULITIS"
"CRP","L03115","CELLULITIS OF RIGHT LOWER LIMB","CELLULITIS"
"CRP","L03116","CELLULITIS OF LEFT LOWER LIMB","CELLULITIS"
"CRP","L03119","CELLULITIS OF UNSPECIFIED PART OF LIMB","CELLULITIS"
"CRP","L03211","CELLULITIS OF FACE","CELLULITIS"
"CRP","L03213","PERIORBITAL CELLULITIS","CELLULITIS"
"CRP","L03221","CELLULITIS OF NECK","CELLULITIS"
"CRP","L03311","CELLULITIS OF ABDOMINAL WALL","CELLULITIS"
"CRP","L03312","CELLULITIS OF BACK [ANY PART EXCEPT BUTTOCK]","CELLULITIS"
"CRP","L03314","CELLULITIS OF GROIN","CELLULITIS"
"CRP","L03317","CELLULITIS OF BUTTOCK","CELLULITIS"
"CRP","L03319","CELLULITIS OF TRUNK, UNSPECIFIED","CELLULITIS"
"CRP","L03811","CELLULITIS OF HEAD [ANY PART, EXCEPT FACE]","CELLULITIS"
"CRP","L03818","CELLULITIS OF OTHER SITES","CELLULITIS"
"CRP","L0390","CELLULITIS, UNSPECIFIED","CELLULITIS"
"CRP","L401","GENERALIZED PUSTULAR PSORIASIS","PSORIASIS"
"CRP","L4050","ARTHROPATHIC PSORIASIS, UNSPECIFIED","PSORIASIS"
"CRP","L408","OTHER PSORIASIS","PSORIASIS"
"CRP","L409","PSORIASIS, UNSPECIFIED","PSORIASIS"
"CRP","M00061","STAPHYLOCOCCAL ARTHRITIS, RIGHT KNEE","ARTHRITIS"
"CRP","M00862","ARTHRITIS DUE TO OTHER BACTERIA, LEFT KNEE","ARTHRITIS"
"CRP","M05741","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF RIGHT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS; ARTHRITIS"
"CRP","M05742","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF LEFT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS; ARTHRITIS"
"CRP","M0579","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF MULTIPLE SITES WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS; ARTHRITIS"
"CRP","M059","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR, UNSPECIFIED","RHEUMATOID.*ARTHRITIS; ARTHRITIS"
"CRP","M0600","RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, UNSPECIFIED SITE","RHEUMATOID.*ARTHRITIS; ARTHRITIS"
"CRP","M069","RHEUMATOID ARTHRITIS, UNSPECIFIED","RHEUMATOID.*ARTHRITIS; ARTHRITIS"
"CRP","M130","POLYARTHRITIS, UNSPECIFIED","ARTHRITIS"
"CRP","M150","PRIMARY GENERALIZED (OSTEO)ARTHRITIS","ARTHRITIS"
"CRP","M158","OTHER POLYOSTEOARTHRITIS","ARTHRITIS"
"CRP","M159","POLYOSTEOARTHRITIS, UNSPECIFIED","ARTHRITIS"
"CRP","M160","BILATERAL PRIMARY OSTEOARTHRITIS OF HIP","ARTHRITIS"
"CRP","M1610","UNILATERAL PRIMARY OSTEOARTHRITIS, UNSPECIFIED HIP","ARTHRITIS"
"CRP","M1611","UNILATERAL PRIMARY OSTEOARTHRITIS, RIGHT HIP","ARTHRITIS"
"CRP","M1612","UNILATERAL PRIMARY OSTEOARTHRITIS, LEFT HIP","ARTHRITIS"
"CRP","M166","OTHER BILATERAL SECONDARY OSTEOARTHRITIS OF HIP","ARTHRITIS"
"CRP","M169","OSTEOARTHRITIS OF HIP, UNSPECIFIED","ARTHRITIS"
"CRP","M170","BILATERAL PRIMARY OSTEOARTHRITIS OF KNEE","ARTHRITIS"
"CRP","M1710","UNILATERAL PRIMARY OSTEOARTHRITIS, UNSPECIFIED KNEE","ARTHRITIS"
"CRP","M1711","UNILATERAL PRIMARY OSTEOARTHRITIS, RIGHT KNEE","ARTHRITIS"
"CRP","M1712","UNILATERAL PRIMARY OSTEOARTHRITIS, LEFT KNEE","ARTHRITIS"
"CRP","M172","BILATERAL POST-TRAUMATIC OSTEOARTHRITIS OF KNEE","ARTHRITIS; TRAUMA"
"CRP","M174","OTHER BILATERAL SECONDARY OSTEOARTHRITIS OF KNEE","ARTHRITIS"
"CRP","M175","OTHER UNILATERAL SECONDARY OSTEOARTHRITIS OF KNEE","ARTHRITIS"
"CRP","M180","BILATERAL PRIMARY OSTEOARTHRITIS OF FIRST CARPOMETACARPAL JOINTS","ARTHRITIS"
"CRP","M1811","UNILATERAL PRIMARY OSTEOARTHRITIS OF FIRST CARPOMETACARPAL JOINT, RIGHT HAND","ARTHRITIS"
"CRP","M1812","UNILATERAL PRIMARY OSTEOARTHRITIS OF FIRST CARPOMETACARPAL JOINT, LEFT HAND","ARTHRITIS"
"CRP","M19011","PRIMARY OSTEOARTHRITIS, RIGHT SHOULDER","ARTHRITIS"
"CRP","M19012","PRIMARY OSTEOARTHRITIS, LEFT SHOULDER","ARTHRITIS"
"CRP","M19019","PRIMARY OSTEOARTHRITIS, UNSPECIFIED SHOULDER","ARTHRITIS"
"CRP","M19022","PRIMARY OSTEOARTHRITIS, LEFT ELBOW","ARTHRITIS"
"CRP","M19032","PRIMARY OSTEOARTHRITIS, LEFT WRIST","ARTHRITIS"
"CRP","M19041","PRIMARY OSTEOARTHRITIS, RIGHT HAND","ARTHRITIS"
"CRP","M19042","PRIMARY OSTEOARTHRITIS, LEFT HAND","ARTHRITIS"
"CRP","M19049","PRIMARY OSTEOARTHRITIS, UNSPECIFIED HAND","ARTHRITIS"
"CRP","M19071","PRIMARY OSTEOARTHRITIS, RIGHT ANKLE AND FOOT","ARTHRITIS"
"CRP","M19072","PRIMARY OSTEOARTHRITIS, LEFT ANKLE AND FOOT","ARTHRITIS"
"CRP","M19079","PRIMARY OSTEOARTHRITIS, UNSPECIFIED ANKLE AND FOOT","ARTHRITIS"
"CRP","M19111","POST-TRAUMATIC OSTEOARTHRITIS, RIGHT SHOULDER","ARTHRITIS; TRAUMA"
"CRP","M19141","POST-TRAUMATIC OSTEOARTHRITIS, RIGHT HAND","ARTHRITIS; TRAUMA"
"CRP","M19142","POST-TRAUMATIC OSTEOARTHRITIS, LEFT HAND","ARTHRITIS; TRAUMA"
"CRP","M1990","UNSPECIFIED OSTEOARTHRITIS, UNSPECIFIED SITE","ARTHRITIS"
"CRP","M316","OTHER GIANT CELL ARTERITIS","GIANT.*CELL.*ARTERITIS"
"CRP","M320","DRUG-INDUCED SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS; LUPUS.*ERYTHEMATOSUS"
"CRP","M3210","SYSTEMIC LUPUS ERYTHEMATOSUS, ORGAN OR SYSTEM INVOLVEMENT UNSPECIFIED","LUPUS; LUPUS.*ERYTHEMATOSUS"
"CRP","M3212","PERICARDITIS IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS; PERICARDITIS; LUPUS.*ERYTHEMATOSUS"
"CRP","M3213","LUNG INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS; LUPUS.*ERYTHEMATOSUS"
"CRP","M3214","GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS; LUPUS.*ERYTHEMATOSUS"
"CRP","M3219","OTHER ORGAN OR SYSTEM INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS; LUPUS.*ERYTHEMATOSUS"
"CRP","M329","SYSTEMIC LUPUS ERYTHEMATOSUS, UNSPECIFIED","LUPUS; LUPUS.*ERYTHEMATOSUS"
"CRP","M353","POLYMYALGIA RHEUMATICA","POLYMYALGIA.*RHEUMATICA"
"CRP","M450","ANKYLOSING SPONDYLITIS OF MULTIPLE SITES IN SPINE","ANKYLOSING.*SPONDYLITIS"
"CRP","M453","ANKYLOSING SPONDYLITIS OF CERVICOTHORACIC REGION","ANKYLOSING.*SPONDYLITIS"
"CRP","M457","ANKYLOSING SPONDYLITIS OF LUMBOSACRAL REGION","ANKYLOSING.*SPONDYLITIS"
"CRP","M459","ANKYLOSING SPONDYLITIS OF UNSPECIFIED SITES IN SPINE","ANKYLOSING.*SPONDYLITIS"
"CRP","M6208","SEPARATION OF MUSCLE (NONTRAUMATIC), OTHER SITE","TRAUMA"
"CRP","M75100","UNSPECIFIED ROTATOR CUFF TEAR OR RUPTURE OF UNSPECIFIED SHOULDER, NOT SPECIFIED AS TRAUMATIC","TRAUMA"
"CRP","M75101","UNSPECIFIED ROTATOR CUFF TEAR OR RUPTURE OF RIGHT SHOULDER, NOT SPECIFIED AS TRAUMATIC","TRAUMA"
"CRP","M75102","UNSPECIFIED ROTATOR CUFF TEAR OR RUPTURE OF LEFT SHOULDER, NOT SPECIFIED AS TRAUMATIC","TRAUMA"
"CRP","M75110","INCOMPLETE ROTATOR CUFF TEAR OR RUPTURE OF UNSPECIFIED SHOULDER, NOT SPECIFIED AS TRAUMATIC","TRAUMA"
"CRP","M75111","INCOMPLETE ROTATOR CUFF TEAR OR RUPTURE OF RIGHT SHOULDER, NOT SPECIFIED AS TRAUMATIC","TRAUMA"
"CRP","M75112","INCOMPLETE ROTATOR CUFF TEAR OR RUPTURE OF LEFT SHOULDER, NOT SPECIFIED AS TRAUMATIC","TRAUMA"
"CRP","M75121","COMPLETE ROTATOR CUFF TEAR OR RUPTURE OF RIGHT SHOULDER, NOT SPECIFIED AS TRAUMATIC","TRAUMA"
"CRP","M75122","COMPLETE ROTATOR CUFF TEAR OR RUPTURE OF LEFT SHOULDER, NOT SPECIFIED AS TRAUMATIC","TRAUMA"
"CRP","M86172","OTHER ACUTE OSTEOMYELITIS, LEFT ANKLE AND FOOT","OSTEOMYELITIS"
"CRP","M86179","OTHER ACUTE OSTEOMYELITIS, UNSPECIFIED ANKLE AND FOOT","OSTEOMYELITIS"
"CRP","M869","OSTEOMYELITIS, UNSPECIFIED","OSTEOMYELITIS"
"CRP","N10","ACUTE PYELONEPHRITIS","PYELONEPHRITIS"
"CRP","N419","INFLAMMATORY DISEASE OF PROSTATE, UNSPECIFIED","INFLAMMATORY.*DISEASE"
"CRP","N72","INFLAMMATORY DISEASE OF CERVIX UTERI","INFLAMMATORY.*DISEASE"
"CRP","N730","ACUTE PARAMETRITIS AND PELVIC CELLULITIS","CELLULITIS"
