"","Variable_Name","Search_Term"
"126","BP_DIASTOLIC","benign hypertension"
"127","BP_DIASTOLIC","pre-hypertension"
"128","BP_DIASTOLIC","hypertensive urgency"
"129","BP_DIASTOLIC","hypertensive emergency"
"130","BP_DIASTOLIC","hypertensive kidney disease"
"131","BP_DIASTOLIC","sustained high blood pressure"
"132","BP_DIASTOLIC","accelerated hypertension"
"133","BP_DIASTOLIC","systemic hypertension"
"134","CHOL","hypercholesterolemia"
"135","CHOL","high cholesterol"
"136","CHOL","dyslipidemia"
"137","CHOL","hyperlipidemia"
"138","CHOL","elevated cholesterol"
"139","CHOL","familial hypercholesterolemia"
"140","CHOL","atherosclerosis"
"141","CHOL","hyperlipoproteinemia"
"142","CHOL","secondary hypercholesterolemia"
"143","CHOL","mixed hyperlipidemia"
"144","CHOL","coronary artery disease"
"145","CHOL","elevated lipids"
"146","CHOL","atherosclerotic cardiovascular disease with hyperlipidemia"
"147","CHOL","high total cholesterol"
"148","CREAT_C","renal failure"
"149","CREAT_C","renal insufficiency"
"150","CREAT_C","acute kidney injury"
"151","CREAT_C","chronic renal failure"
"152","CREAT_C","end stage renal disease"
"153","CREAT_C","kidney disease"
"154","CREAT_C","impaired kidney function"
"155","CREAT_C","kidney failure"
"156","CREAT_C","kidney insufficiency"
"157","CREAT_C","acute kidney disease"
"158","CREAT_C","chronic kidney disease"
"159","CREAT_C","end-stage renal disease"
"160","CREAT_C","glomerular disease"
"161","CREAT_C","nephropathy"
"162","CREAT_C","compromised kidney function"
"163","CREAT_C","nephritis"
"164","CREAT_C","uremia"
"165","CREAT_C","kidney dysfunction"
"166","CREAT_C","glomerular filtration rate decrease"
"167","CREAT_C","renal impairment"
"168","CREAT_C","glomerular dysfunction"
"169","CREAT_C","reduced glomerular filtration rate"
"170","CREAT_C","acute renal insufficiency"
"171","CREAT_C","glomerulonephritis"
"172","CREAT_C","tubular necrosis"
"173","CREAT_C","acute renal failure"
"174","CREAT_C","glomerular filtration rate decreased"
"175","CREAT_C","decreased glomerular filtration rate"
"176","CREAT_C","tubular disease"
"177","CREAT_C","interstitial nephritis"
"178","CREAT_C","azotaemia"
"179","CREAT_C","pyelonephritis"
"180","CREAT_C","acute kidney failure"
"181","CREAT_C","azotemia"
"182","CREAT_C","end-stage kidney disease"
"183","CREAT_C","impaired renal function"
"184","CRP","sepsis"
"185","CRP","infection"
"186","CRP","autoimmune inflammatory syndrome"
"187","CRP","inflammation"
"188","CRP","systemic inflammatory response syndrome"
"189","CRP","vasculitis"
"190","CRP","rheumatoid arthritis"
"191","CRP","lupus"
"192","CRP","inflammatory bowel disease"
"193","CRP","osteomyelitis"
"194","CRP","pancreatitis"
"195","CRP","pneumonia"
"196","CRP","bacterial infection"
"197","CRP","viral infection"
"198","CRP","fungal infection"
"199","CRP","parasitic infection"
"200","CRP","appendicitis"
"201","CRP","meningitis"
"202","CRP","bronchitis"
"203","CRP","cellulitis"
"204","CRP","endocarditis"
"205","CRP","acute phase reaction"
"206","CRP","elevated c-reactive protein"
"207","CRP","elevated c reactive protein"
"208","CRP","arthritis"
"209","CRP","encephalitis"
"210","CRP","myocarditis"
"211","CRP","pericarditis"
"212","CRP","acute inflammatory response"
"213","CRP","chronic inflammatory disease"
"214","CRP","lupus erythematosus"
"215","CRP","urinary tract infection"
"216","CRP","diverticulitis"
"217","CRP","giant cell arteritis"
"218","CRP","polymyalgia rheumatica"
"219","CRP","psoriasis"
"220","CRP","ankylosing spondylitis"
"221","CRP","acute inflammation"
"222","CRP","chronic inflammation"
"223","CRP","inflammatory disease"
"224","CRP","severe infection"
"225","CRP","myocardial infarction"
"226","CRP","stroke"
"227","CRP","cancer"
"228","CRP","pyelonephritis"
"229","CRP","fever of unknown origin"
"230","CRP","hepatitis"
"231","CRP","cholecystitis"
"232","CRP","colitis"
"233","CRP","inflammatory arthritis"
"234","CRP","sinusitis"
"235","CRP","systemic inflammation"
"236","CRP","tissue damage"
"237","CRP","trauma"
"238","CRP","postoperative inflammation"
"239","CRP","malignancy"
"240","HCST","hyperhomocysteinemia"
"241","HCST","vitamin deficiency"
"242","HCST","homocystinuria"
"243","HCST","folate deficiency"
"244","HCST","vitamin b12 deficiency"
"245","HCST","vitamin b6 deficiency"
"246","HCST","b12 deficiency"
"247","HCST","elevated homocysteine"
"248","HCST","high homocysteine"
"249","HCST","pyridoxine deficiency"
"250","HCST","genetic homocysteine disorder"
"251","HCST","genetic homocystinuria"
"252","HCST","cardiovascular disease risk"
"253","HCST","cerebrovascular disease risk"
"254","HCST","peripheral vascular disease risk"
"255","HCST","thrombosis risk"
"256","HCST","genetic hyperhomocysteinemia"
"257","HCST","acquired hyperhomocysteinemia"
"258","HCST","cobalamin deficiency"
"259","HCST","mthfr gene mutation"
"260","HCST","b6 deficiency"
"261","HCST","thrombotic disorders"
"262","HCST","methylenetetrahydrofolate reductase deficiency"
"263","HCST","mthfr deficiency"
"264","HCST","metabolic disorder"
"265","HCST","genetic predisposition to high homocysteine"
"266","TRIG","hypertriglyceridemia"
"267","TRIG","high triglycerides"
"268","TRIG","dyslipidemia"
"269","TRIG","hyperlipidemia"
"270","TRIG","elevated triglycerides"
"271","TRIG","familial hypertriglyceridemia"
"272","TRIG","hyperlipoproteinemia"
"273","TRIG","secondary hypertriglyceridemia"
"274","TRIG","mixed hyperlipidemia"
"275","TRIG","metabolic syndrome"
"276","TRIG","elevated lipids"
"277","TRIG","high serum triglycerides"
