CLINICALLY_RELEVANT,Variable_Name,DX_CODE,DX_DESC,matched_terms_llm_context_loop_icd10
Y,ALB,M3214,GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS,SYSTEMIC.*LUPUS.*ERYTHEMATOSUS
N,ALB,M3219,OTHER ORGAN OR SYSTEM INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS,SYSTEMIC.*LUPUS.*ERYTHEMATOSUS
Y,ALB,M329,"SYSTEMIC LUPUS ERYTHEMATOSUS, UNSPECIFIED",SYSTEMIC.*LUPUS.*ERYTHEMATOSUS
Y,ALB,N049,NEPHROTIC SYNDROME WITH UNSPECIFIED MORPHOLOGIC CHANGES,NEPHROTIC.*SYNDROME
N,ALB,N419,"INFLAMMATORY DISEASE OF PROSTATE, UNSPECIFIED",INFLAMMATORY.*DISEASE
N,ALB,N72,INFLAMMATORY DISEASE OF CERVIX UTERI,INFLAMMATORY.*DISEASE
N,ALB,N739,"FEMALE PELVIC INFLAMMATORY DISEASE, UNSPECIFIED",INFLAMMATORY.*DISEASE
N,ALB,R6520,SEVERE SEPSIS WITHOUT SEPTIC SHOCK,SEPSIS
N,BMI,E65,LOCALIZED ADIPOSITY,ADIPOSITY
N,BP_DIASTOLIC,I87322,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY,HYPERTENSION
N ,BP_SYSTOLIC,I87322,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY,HYPERTENSION
Y,CHOL,I25810,ATHEROSCLEROSIS OF CORONARY ARTERY BYPASS GRAFT(S) WITHOUT ANGINA PECTORIS,ATHEROSCLEROSIS
Y,CHOL,I25812,ATHEROSCLEROSIS OF BYPASS GRAFT OF CORONARY ARTERY OF TRANSPLANTED HEART WITHOUT ANGINA PECTORIS,ATHEROSCLEROSIS
Y,CHOL,I2584,CORONARY ATHEROSCLEROSIS DUE TO CALCIFIED CORONARY LESION,ATHEROSCLEROSIS
Y,CHOL,I700,ATHEROSCLEROSIS OF AORTA,ATHEROSCLEROSIS
Y,CHOL,I701,ATHEROSCLEROSIS OF RENAL ARTERY,ATHEROSCLEROSIS
Y,CHOL,I7090,UNSPECIFIED ATHEROSCLEROSIS,ATHEROSCLEROSIS
N,CREAT_C,D631,ANEMIA IN CHRONIC KIDNEY DISEASE,KIDNEY.*DISEASE; CHRONIC.*KIDNEY.*DISEASE
N,CREAT_C,E1122,TYPE 2 DIABETES MELLITUS WITH DIABETIC CHRONIC KIDNEY DISEASE,KIDNEY.*DISEASE; CHRONIC.*KIDNEY.*DISEASE
Y,CREAT_C,M3214,GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS,GLOMERULAR.*DISEASE
N,CREAT_C,N10,ACUTE PYELONEPHRITIS,NEPHRITIS; PYELONEPHRITIS
N,CREAT_C,N12,"TUBULO-INTERSTITIAL NEPHRITIS, NOT SPECIFIED AS ACUTE OR CHRONIC",NEPHRITIS; INTERSTITIAL.*NEPHRITIS
Y,CREAT_C,N189,"CHRONIC KIDNEY DISEASE, UNSPECIFIED",KIDNEY.*DISEASE; CHRONIC.*KIDNEY.*DISEASE
Y,CRP,A0222,SALMONELLA PNEUMONIA,PNEUMONIA
Y,CRP,A09,"INFECTIOUS GASTROENTERITIS AND COLITIS, UNSPECIFIED",COLITIS
Y,CRP,A4101,SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS,SEPSIS
Y,CRP,A419,"SEPSIS, UNSPECIFIED ORGANISM",SEPSIS
Y,CRP,B169,ACUTE HEPATITIS B WITHOUT DELTA-AGENT AND WITHOUT HEPATIC COMA,HEPATITIS
Y,CRP,B1710,ACUTE HEPATITIS C WITHOUT HEPATIC COMA,HEPATITIS
Y,CRP,B182,CHRONIC VIRAL HEPATITIS C,HEPATITIS
Y,CRP,B189,"CHRONIC VIRAL HEPATITIS, UNSPECIFIED",HEPATITIS
Y,CRP,B1920,UNSPECIFIED VIRAL HEPATITIS C WITHOUT HEPATIC COMA,HEPATITIS
N,CRP,D701,AGRANULOCYTOSIS SECONDARY TO CANCER CHEMOTHERAPY,CANCER
Y,CRP,E790,HYPERURICEMIA WITHOUT SIGNS OF INFLAMMATORY ARTHRITIS AND TOPHACEOUS DISEASE,ARTHRITIS; INFLAMMATORY.*DISEASE; INFLAMMATORY.*ARTHRITIS
N,CRP,F4310,"POST-TRAUMATIC STRESS DISORDER, UNSPECIFIED",TRAUMA
Y,CRP,G038,MENINGITIS DUE TO OTHER SPECIFIED CAUSES,MENINGITIS
Y,CRP,G039,"MENINGITIS, UNSPECIFIED",MENINGITIS
N,CRP,G44309,"POST-TRAUMATIC HEADACHE, UNSPECIFIED, NOT INTRACTABLE",TRAUMA
N,CRP,G44311,"ACUTE POST-TRAUMATIC HEADACHE, INTRACTABLE",TRAUMA
N,CRP,G44319,"ACUTE POST-TRAUMATIC HEADACHE, NOT INTRACTABLE",TRAUMA
N,CRP,G44321,"CHRONIC POST-TRAUMATIC HEADACHE, INTRACTABLE",TRAUMA
N,CRP,G44329,"CHRONIC POST-TRAUMATIC HEADACHE, NOT INTRACTABLE",TRAUMA
N,CRP,G8911,ACUTE PAIN DUE TO TRAUMA,TRAUMA
N,CRP,G8921,CHRONIC PAIN DUE TO TRAUMA,TRAUMA
N,CRP,H31012,"MACULA SCARS OF POSTERIOR POLE (POSTINFLAMMATORY) (POST-TRAUMATIC), LEFT EYE",TRAUMA
Y,CRP,H6011,CELLULITIS OF RIGHT EXTERNAL EAR,CELLULITIS
Y,CRP,I2102,ST ELEVATION (STEMI) MYOCARDIAL INFARCTION INVOLVING LEFT ANTERIOR DESCENDING CORONARY ARTERY,MYOCARDIAL.*INFARCTION
Y,CRP,I2111,ST ELEVATION (STEMI) MYOCARDIAL INFARCTION INVOLVING RIGHT CORONARY ARTERY,MYOCARDIAL.*INFARCTION
Y,CRP,I213,ST ELEVATION (STEMI) MYOCARDIAL INFARCTION OF UNSPECIFIED SITE,MYOCARDIAL.*INFARCTION
Y,CRP,I214,NON-ST ELEVATION (NSTEMI) MYOCARDIAL INFARCTION,MYOCARDIAL.*INFARCTION
Y,CRP,I219,"ACUTE MYOCARDIAL INFARCTION, UNSPECIFIED",MYOCARDIAL.*INFARCTION
N,CRP,I252,OLD MYOCARDIAL INFARCTION,MYOCARDIAL.*INFARCTION
Y,CRP,I38,"ENDOCARDITIS, VALVE UNSPECIFIED",ENDOCARDITIS
Y,CRP,I514,"MYOCARDITIS, UNSPECIFIED",MYOCARDITIS
N,CRP,I607,NONTRAUMATIC SUBARACHNOID HEMORRHAGE FROM UNSPECIFIED INTRACRANIAL ARTERY,TRAUMA
N,CRP,I609,"NONTRAUMATIC SUBARACHNOID HEMORRHAGE, UNSPECIFIED",TRAUMA
N,CRP,I619,"NONTRAUMATIC INTRACEREBRAL HEMORRHAGE, UNSPECIFIED",TRAUMA
N,CRP,I8310,VARICOSE VEINS OF UNSPECIFIED LOWER EXTREMITY WITH INFLAMMATION,INFLAMMATION
N,CRP,I8311,VARICOSE VEINS OF RIGHT LOWER EXTREMITY WITH INFLAMMATION,INFLAMMATION
N,CRP,I8312,VARICOSE VEINS OF LEFT LOWER EXTREMITY WITH INFLAMMATION,INFLAMMATION
N,CRP,I87322,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY,INFLAMMATION; CHRONIC.*INFLAMMATION
Y,CRP,J0100,"ACUTE MAXILLARY SINUSITIS, UNSPECIFIED",SINUSITIS
Y,CRP,J0101,ACUTE RECURRENT MAXILLARY SINUSITIS,SINUSITIS
Y,CRP,J0110,"ACUTE FRONTAL SINUSITIS, UNSPECIFIED",SINUSITIS
Y,CRP,J0111,ACUTE RECURRENT FRONTAL SINUSITIS,SINUSITIS
y,CRP,J0120,"ACUTE ETHMOIDAL SINUSITIS, UNSPECIFIED",SINUSITIS
y,CRP,J0121,ACUTE RECURRENT ETHMOIDAL SINUSITIS,SINUSITIS
y,CRP,J0140,"ACUTE PANSINUSITIS, UNSPECIFIED",SINUSITIS
y,CRP,J0141,ACUTE RECURRENT PANSINUSITIS,SINUSITIS
Y,CRP,J0180,OTHER ACUTE SINUSITIS,SINUSITIS
Y,CRP,J0190,"ACUTE SINUSITIS, UNSPECIFIED",SINUSITIS
yY,CRP,J0191,"ACUTE RECURRENT SINUSITIS, UNSPECIFIED",SINUSITIS
Y,CRP,J123,HUMAN METAPNEUMOVIRUS PNEUMONIA,PNEUMONIA
Y,CRP,J129,"VIRAL PNEUMONIA, UNSPECIFIED",PNEUMONIA
Y,CRP,J159,UNSPECIFIED BACTERIAL PNEUMONIA,PNEUMONIA
Y,CRP,J180,"BRONCHOPNEUMONIA, UNSPECIFIED ORGANISM",PNEUMONIA
Y,CRP,J189,"PNEUMONIA, UNSPECIFIED ORGANISM",PNEUMONIA
Y,CRP,J200,ACUTE BRONCHITIS DUE TO MYCOPLASMA PNEUMONIAE,PNEUMONIA; BRONCHITIS
Y,CRP,J208,ACUTE BRONCHITIS DUE TO OTHER SPECIFIED ORGANISMS,BRONCHITIS
Y,CRP,J209,"ACUTE BRONCHITIS, UNSPECIFIED",BRONCHITIS
Y,CRP,J320,CHRONIC MAXILLARY SINUSITIS,SINUSITIS
Y,CRP,J321,CHRONIC FRONTAL SINUSITIS,SINUSITIS
Y,CRP,J322,CHRONIC ETHMOIDAL SINUSITIS,SINUSITIS
Y,CRP,J324,CHRONIC PANSINUSITIS,SINUSITIS
Y,CRP,J328,OTHER CHRONIC SINUSITIS,SINUSITIS
Y,CRP,J329,"CHRONIC SINUSITIS, UNSPECIFIED",SINUSITIS
Y,CRP,J40,"BRONCHITIS, NOT SPECIFIED AS ACUTE OR CHRONIC",BRONCHITIS
Y,CRP,J410,SIMPLE CHRONIC BRONCHITIS,BRONCHITIS
Y,CRP,J411,MUCOPURULENT CHRONIC BRONCHITIS,BRONCHITIS
Y,CRP,J418,MIXED SIMPLE AND MUCOPURULENT CHRONIC BRONCHITIS,BRONCHITIS
Y,CRP,J42,UNSPECIFIED CHRONIC BRONCHITIS,BRONCHITIS
Y,CRP,J84117,DESQUAMATIVE INTERSTITIAL PNEUMONIA,PNEUMONIA
Y,CRP,K122,CELLULITIS AND ABSCESS OF MOUTH,CELLULITIS
Y,CRP,K3530,"ACUTE APPENDICITIS WITH LOCALIZED PERITONITIS, WITHOUT PERFORATION OR GANGRENE",APPENDICITIS
Y,CRP,K3580,UNSPECIFIED ACUTE APPENDICITIS,APPENDICITIS
Y,CRP,K35890,OTHER ACUTE APPENDICITIS WITHOUT PERFORATION OR GANGRENE,APPENDICITIS
Y,CRP,K37,UNSPECIFIED APPENDICITIS,APPENDICITIS
Y,CRP,K5100,ULCERATIVE (CHRONIC) PANCOLITIS WITHOUT COMPLICATIONS,COLITIS
Y,CRP,K51011,ULCERATIVE (CHRONIC) PANCOLITIS WITH RECTAL BLEEDING,COLITIS
Y,CRP,K51511,LEFT SIDED COLITIS WITH RECTAL BLEEDING,COLITIS
Y,CRP,K51811,OTHER ULCERATIVE COLITIS WITH RECTAL BLEEDING,COLITIS
Y,CRP,K5190,"ULCERATIVE COLITIS, UNSPECIFIED, WITHOUT COMPLICATIONS",COLITIS
Y,CRP,K51911,"ULCERATIVE COLITIS, UNSPECIFIED WITH RECTAL BLEEDING",COLITIS
Y,CRP,K521,TOXIC GASTROENTERITIS AND COLITIS,COLITIS
Y,CRP,K5229,OTHER ALLERGIC AND DIETETIC GASTROENTERITIS AND COLITIS,COLITIS
Y,CRP,K52831,COLLAGENOUS COLITIS,COLITIS
Y,CRP,K52838,OTHER MICROSCOPIC COLITIS,COLITIS
Y,CRP,K529,"NONINFECTIVE GASTROENTERITIS AND COLITIS, UNSPECIFIED",COLITIS
Y,CRP,K5732,DIVERTICULITIS OF LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS WITHOUT BLEEDING,DIVERTICULITIS
Y,CRP,K5733,DIVERTICULITIS OF LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS WITH BLEEDING,DIVERTICULITIS
Y,CRP,K5792,"DIVERTICULITIS OF INTESTINE, PART UNSPECIFIED, WITHOUT PERFORATION OR ABSCESS WITHOUT BLEEDING",DIVERTICULITIS
Y,CRP,K7010,ALCOHOLIC HEPATITIS WITHOUT ASCITES,HEPATITIS
Y,CRP,K7581,NONALCOHOLIC STEATOHEPATITIS (NASH),HEPATITIS
Y,CRP,K759,"INFLAMMATORY LIVER DISEASE, UNSPECIFIED",INFLAMMATORY.*DISEASE
Y,CRP,K8000,CALCULUS OF GALLBLADDER WITH ACUTE CHOLECYSTITIS WITHOUT OBSTRUCTION,CHOLECYSTITIS
Y,CRP,K8001,CALCULUS OF GALLBLADDER WITH ACUTE CHOLECYSTITIS WITH OBSTRUCTION,CHOLECYSTITIS
Y,CRP,K8010,CALCULUS OF GALLBLADDER WITH CHRONIC CHOLECYSTITIS WITHOUT OBSTRUCTION,CHOLECYSTITIS
Y,CRP,K8020,CALCULUS OF GALLBLADDER WITHOUT CHOLECYSTITIS WITHOUT OBSTRUCTION,CHOLECYSTITIS
Y,CRP,K8021,CALCULUS OF GALLBLADDER WITHOUT CHOLECYSTITIS WITH OBSTRUCTION,CHOLECYSTITIS
Y,CRP,K8050,CALCULUS OF BILE DUCT WITHOUT CHOLANGITIS OR CHOLECYSTITIS WITHOUT OBSTRUCTION,CHOLECYSTITIS
Y,CRP,K810,ACUTE CHOLECYSTITIS,CHOLECYSTITIS
Y,CRP,K811,CHRONIC CHOLECYSTITIS,CHOLECYSTITIS
Y,CRP,K819,"CHOLECYSTITIS, UNSPECIFIED",CHOLECYSTITIS
Y,CRP,K860,ALCOHOL-INDUCED CHRONIC PANCREATITIS,PANCREATITIS
Y,CRP,K861,OTHER CHRONIC PANCREATITIS,PANCREATITIS
Y,CRP,L03011,CELLULITIS OF RIGHT FINGER,CELLULITIS
Y,CRP,L03012,CELLULITIS OF LEFT FINGER,CELLULITIS
Y,CRP,L03019,CELLULITIS OF UNSPECIFIED FINGER,CELLULITIS
Y,CRP,L03031,CELLULITIS OF RIGHT TOE,CELLULITIS
Y,CRP,L03032,CELLULITIS OF LEFT TOE,CELLULITIS
Y,CRP,L03111,CELLULITIS OF RIGHT AXILLA,CELLULITIS
Y,CRP,L03112,CELLULITIS OF LEFT AXILLA,CELLULITIS
Y,CRP,L03113,CELLULITIS OF RIGHT UPPER LIMB,CELLULITIS
Y,CRP,L03114,CELLULITIS OF LEFT UPPER LIMB,CELLULITIS
Y,CRP,L03115,CELLULITIS OF RIGHT LOWER LIMB,CELLULITIS
Y,CRP,L03116,CELLULITIS OF LEFT LOWER LIMB,CELLULITIS
Y,CRP,L03119,CELLULITIS OF UNSPECIFIED PART OF LIMB,CELLULITIS
Y,CRP,L03211,CELLULITIS OF FACE,CELLULITIS
Y,CRP,L03213,PERIORBITAL CELLULITIS,CELLULITIS
Y,CRP,L03221,CELLULITIS OF NECK,CELLULITIS
Y,CRP,L03311,CELLULITIS OF ABDOMINAL WALL,CELLULITIS
Y,CRP,L03312,CELLULITIS OF BACK [ANY PART EXCEPT BUTTOCK],CELLULITIS
Y,CRP,L03314,CELLULITIS OF GROIN,CELLULITIS
Y,CRP,L03317,CELLULITIS OF BUTTOCK,CELLULITIS
Y,CRP,L03319,"CELLULITIS OF TRUNK, UNSPECIFIED",CELLULITIS
Y,CRP,L03811,"CELLULITIS OF HEAD [ANY PART, EXCEPT FACE]",CELLULITIS
Y,CRP,L03818,CELLULITIS OF OTHER SITES,CELLULITIS
Y,CRP,L0390,"CELLULITIS, UNSPECIFIED",CELLULITIS
Y,CRP,L401,GENERALIZED PUSTULAR PSORIASIS,PSORIASIS
Y,CRP,L4050,"ARTHROPATHIC PSORIASIS, UNSPECIFIED",PSORIASIS
Y,CRP,L408,OTHER PSORIASIS,PSORIASIS
Y,CRP,L409,"PSORIASIS, UNSPECIFIED",PSORIASIS
Y,CRP,M00061,"STAPHYLOCOCCAL ARTHRITIS, RIGHT KNEE",ARTHRITIS
Y,CRP,M00862,"ARTHRITIS DUE TO OTHER BACTERIA, LEFT KNEE",ARTHRITIS
Y,CRP,M05741,RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF RIGHT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT,RHEUMATOID.*ARTHRITIS; ARTHRITIS
Y,CRP,M05742,RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF LEFT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT,RHEUMATOID.*ARTHRITIS; ARTHRITIS
Y,CRP,M0579,RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF MULTIPLE SITES WITHOUT ORGAN OR SYSTEMS INVOLVEMENT,RHEUMATOID.*ARTHRITIS; ARTHRITIS
Y,CRP,M059,"RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR, UNSPECIFIED",RHEUMATOID.*ARTHRITIS; ARTHRITIS
Y,CRP,M0600,"RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, UNSPECIFIED SITE",RHEUMATOID.*ARTHRITIS; ARTHRITIS
Y,CRP,M069,"RHEUMATOID ARTHRITIS, UNSPECIFIED",RHEUMATOID.*ARTHRITIS; ARTHRITIS
Y,CRP,M130,"POLYARTHRITIS, UNSPECIFIED",ARTHRITIS
Y,CRP,M150,PRIMARY GENERALIZED (OSTEO)ARTHRITIS,ARTHRITIS
Y,CRP,M158,OTHER POLYOSTEOARTHRITIS,ARTHRITIS
Y,CRP,M159,"POLYOSTEOARTHRITIS, UNSPECIFIED",ARTHRITIS
Y,CRP,M160,BILATERAL PRIMARY OSTEOARTHRITIS OF HIP,ARTHRITIS
Y,CRP,M1610,"UNILATERAL PRIMARY OSTEOARTHRITIS, UNSPECIFIED HIP",ARTHRITIS
Y,CRP,M1611,"UNILATERAL PRIMARY OSTEOARTHRITIS, RIGHT HIP",ARTHRITIS
Y,CRP,M1612,"UNILATERAL PRIMARY OSTEOARTHRITIS, LEFT HIP",ARTHRITIS
Y,CRP,M166,OTHER BILATERAL SECONDARY OSTEOARTHRITIS OF HIP,ARTHRITIS
Y,CRP,M169,"OSTEOARTHRITIS OF HIP, UNSPECIFIED",ARTHRITIS
Y,CRP,M170,BILATERAL PRIMARY OSTEOARTHRITIS OF KNEE,ARTHRITIS
Y,CRP,M1710,"UNILATERAL PRIMARY OSTEOARTHRITIS, UNSPECIFIED KNEE",ARTHRITIS
Y,CRP,M1711,"UNILATERAL PRIMARY OSTEOARTHRITIS, RIGHT KNEE",ARTHRITIS
Y,CRP,M1712,"UNILATERAL PRIMARY OSTEOARTHRITIS, LEFT KNEE",ARTHRITIS
Y,CRP,M172,BILATERAL POST-TRAUMATIC OSTEOARTHRITIS OF KNEE,ARTHRITIS; TRAUMA
Y,CRP,M174,OTHER BILATERAL SECONDARY OSTEOARTHRITIS OF KNEE,ARTHRITIS
Y,CRP,M175,OTHER UNILATERAL SECONDARY OSTEOARTHRITIS OF KNEE,ARTHRITIS
Y,CRP,M180,BILATERAL PRIMARY OSTEOARTHRITIS OF FIRST CARPOMETACARPAL JOINTS,ARTHRITIS
Y,CRP,M1811,"UNILATERAL PRIMARY OSTEOARTHRITIS OF FIRST CARPOMETACARPAL JOINT, RIGHT HAND",ARTHRITIS
Y,CRP,M1812,"UNILATERAL PRIMARY OSTEOARTHRITIS OF FIRST CARPOMETACARPAL JOINT, LEFT HAND",ARTHRITIS
Y,CRP,M19011,"PRIMARY OSTEOARTHRITIS, RIGHT SHOULDER",ARTHRITIS
Y,CRP,M19012,"PRIMARY OSTEOARTHRITIS, LEFT SHOULDER",ARTHRITIS
Y,CRP,M19019,"PRIMARY OSTEOARTHRITIS, UNSPECIFIED SHOULDER",ARTHRITIS
Y,CRP,M19022,"PRIMARY OSTEOARTHRITIS, LEFT ELBOW",ARTHRITIS
Y,CRP,M19032,"PRIMARY OSTEOARTHRITIS, LEFT WRIST",ARTHRITIS
Y,CRP,M19041,"PRIMARY OSTEOARTHRITIS, RIGHT HAND",ARTHRITIS
Y,CRP,M19042,"PRIMARY OSTEOARTHRITIS, LEFT HAND",ARTHRITIS
Y,CRP,M19049,"PRIMARY OSTEOARTHRITIS, UNSPECIFIED HAND",ARTHRITIS
Y,CRP,M19071,"PRIMARY OSTEOARTHRITIS, RIGHT ANKLE AND FOOT",ARTHRITIS
Y,CRP,M19072,"PRIMARY OSTEOARTHRITIS, LEFT ANKLE AND FOOT",ARTHRITIS
Y,CRP,M19079,"PRIMARY OSTEOARTHRITIS, UNSPECIFIED ANKLE AND FOOT",ARTHRITIS
Y,CRP,M19111,"POST-TRAUMATIC OSTEOARTHRITIS, RIGHT SHOULDER",ARTHRITIS; TRAUMA
Y,CRP,M19141,"POST-TRAUMATIC OSTEOARTHRITIS, RIGHT HAND",ARTHRITIS; TRAUMA
Y,CRP,M19142,"POST-TRAUMATIC OSTEOARTHRITIS, LEFT HAND",ARTHRITIS; TRAUMA
Y,CRP,M1990,"UNSPECIFIED OSTEOARTHRITIS, UNSPECIFIED SITE",ARTHRITIS
Y,CRP,M316,OTHER GIANT CELL ARTERITIS,GIANT.*CELL.*ARTERITIS
Y,CRP,M320,DRUG-INDUCED SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS; LUPUS.*ERYTHEMATOSUS
Y,CRP,M3210,"SYSTEMIC LUPUS ERYTHEMATOSUS, ORGAN OR SYSTEM INVOLVEMENT UNSPECIFIED",LUPUS; LUPUS.*ERYTHEMATOSUS
Y,CRP,M3212,PERICARDITIS IN SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS; PERICARDITIS; LUPUS.*ERYTHEMATOSUS
Y,CRP,M3213,LUNG INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS; LUPUS.*ERYTHEMATOSUS
Y,CRP,M3214,GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS; LUPUS.*ERYTHEMATOSUS
Y,CRP,M3219,OTHER ORGAN OR SYSTEM INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS; LUPUS.*ERYTHEMATOSUS
Y,CRP,M329,"SYSTEMIC LUPUS ERYTHEMATOSUS, UNSPECIFIED",LUPUS; LUPUS.*ERYTHEMATOSUS
Y,CRP,M353,POLYMYALGIA RHEUMATICA,POLYMYALGIA.*RHEUMATICA
Y,CRP,M450,ANKYLOSING SPONDYLITIS OF MULTIPLE SITES IN SPINE,ANKYLOSING.*SPONDYLITIS
Y,CRP,M453,ANKYLOSING SPONDYLITIS OF CERVICOTHORACIC REGION,ANKYLOSING.*SPONDYLITIS
Y,CRP,M457,ANKYLOSING SPONDYLITIS OF LUMBOSACRAL REGION,ANKYLOSING.*SPONDYLITIS
Y,CRP,M459,ANKYLOSING SPONDYLITIS OF UNSPECIFIED SITES IN SPINE,ANKYLOSING.*SPONDYLITIS
Y,CRP,M6208,"SEPARATION OF MUSCLE (NONTRAUMATIC), OTHER SITE",TRAUMA
N,CRP,M75100,"UNSPECIFIED ROTATOR CUFF TEAR OR RUPTURE OF UNSPECIFIED SHOULDER, NOT SPECIFIED AS TRAUMATIC",TRAUMA
N,CRP,M75101,"UNSPECIFIED ROTATOR CUFF TEAR OR RUPTURE OF RIGHT SHOULDER, NOT SPECIFIED AS TRAUMATIC",TRAUMA
N,CRP,M75102,"UNSPECIFIED ROTATOR CUFF TEAR OR RUPTURE OF LEFT SHOULDER, NOT SPECIFIED AS TRAUMATIC",TRAUMA
N,CRP,M75110,"INCOMPLETE ROTATOR CUFF TEAR OR RUPTURE OF UNSPECIFIED SHOULDER, NOT SPECIFIED AS TRAUMATIC",TRAUMA
N,CRP,M75111,"INCOMPLETE ROTATOR CUFF TEAR OR RUPTURE OF RIGHT SHOULDER, NOT SPECIFIED AS TRAUMATIC",TRAUMA
N,CRP,M75112,"INCOMPLETE ROTATOR CUFF TEAR OR RUPTURE OF LEFT SHOULDER, NOT SPECIFIED AS TRAUMATIC",TRAUMA
N,CRP,M75121,"COMPLETE ROTATOR CUFF TEAR OR RUPTURE OF RIGHT SHOULDER, NOT SPECIFIED AS TRAUMATIC",TRAUMA
N,CRP,M75122,"COMPLETE ROTATOR CUFF TEAR OR RUPTURE OF LEFT SHOULDER, NOT SPECIFIED AS TRAUMATIC",TRAUMA
Y,CRP,M86172,"OTHER ACUTE OSTEOMYELITIS, LEFT ANKLE AND FOOT",OSTEOMYELITIS
